userName,label,test_id,Id,predict_value
tom,posLen_tp_10_rand_c,0,265,0.48
tom,posLen_tp_10_rand_c,0,936,0.82
tom,posLen_tp_10_rand_c,0,738,0.68
tom,posLen_tp_10_rand_c,0,112,0.94
tom,posLen_tp_10_rand_c,0,116,0.52
tom,posLen_tp_10_rand_c,1,10,0.28
tom,posLen_tp_10_rand_c,1,638,0.62
tom,posLen_tp_10_rand_c,1,665,0.54
tom,posLen_tp_10_rand_c,1,107,0.37
tom,posLen_tp_10_rand_c,1,51,0.50
tom,posLen_tp_10_rand_c,2,508,0.42
tom,posLen_tp_10_rand_c,2,447,1
tom,posLen_tp_10_rand_c,2,246,0.28
tom,posLen_tp_10_rand_c,2,289,0.49
tom,posLen_tp_10_rand_c,2,730,0.25
tom,posLen_tp_10_rand_c,3,168,0.45
tom,posLen_tp_10_rand_c,3,671,0.97
tom,posLen_tp_10_rand_c,3,766,0.52
tom,posLen_tp_10_rand_c,3,166,0.18
tom,posLen_tp_10_rand_c,3,428,0.2
tom,posLen_tp_10_rand_c,4,757,0.5
tom,posLen_tp_10_rand_c,4,744,0.9
tom,posLen_tp_10_rand_c,4,908,0.43
tom,posLen_tp_10_rand_c,4,447,0.91
tom,posLen_tp_10_rand_c,4,612,0.52
tom,posLen_tp_10_rand_c,5,99,0.82
tom,posLen_tp_10_rand_c,5,245,0.92
tom,posLen_tp_10_rand_c,5,871,0.9
tom,posLen_tp_10_rand_c,5,221,0.37
tom,posLen_tp_10_rand_c,5,1,0.52
tom,posLen_tp_10_rand_c,6,99,0.83
tom,posLen_tp_10_rand_c,6,245,0.93
tom,posLen_tp_10_rand_c,6,871,0.91
tom,posLen_tp_10_rand_c,6,221,0.38
tom,posLen_tp_10_rand_c,6,1,0.53
tom,posLen_tp_10_rand_c,7,99,0.9
tom,posLen_tp_10_rand_c,7,245,1.0
tom,posLen_tp_10_rand_c,7,871,0.98
tom,posLen_tp_10_rand_c,7,221,0.45
tom,posLen_tp_10_rand_c,7,1,0.6
tom,posLen_tp_10_rand_c,8,99,0.84
tom,posLen_tp_10_rand_c,8,245,0.94
tom,posLen_tp_10_rand_c,8,871,0.92
tom,posLen_tp_10_rand_c,8,221,0.39
tom,posLen_tp_10_rand_c,8,1,0.54
