userName,label,test_id,Id,predict_value
zhenxingma,posLen_tp_10_rand_c,0,16,0.5
zhenxingma,posLen_tp_10_rand_c,0,533,0.47
zhenxingma,posLen_tp_10_rand_c,0,349,0.25
zhenxingma,posLen_tp_10_rand_c,0,843,0.94
zhenxingma,posLen_tp_10_rand_c,0,235,0.25
zhenxingma,posLen_tp_10_rand_c,1,966,0.31
zhenxingma,posLen_tp_10_rand_c,1,398,0.89
zhenxingma,posLen_tp_10_rand_c,1,378,0.26
zhenxingma,posLen_tp_10_rand_c,1,69,0.32
zhenxingma,posLen_tp_10_rand_c,1,614,0.36
zhenxingma,posLen_tp_10_rand_c,2,139,0.24
zhenxingma,posLen_tp_10_rand_c,2,298,0.13
zhenxingma,posLen_tp_10_rand_c,2,458,0.58
zhenxingma,posLen_tp_10_rand_c,2,866,0.55
zhenxingma,posLen_tp_10_rand_c,2,18,0.75
zhenxingma,posLen_tp_10_rand_c,3,112,0.92
zhenxingma,posLen_tp_10_rand_c,3,270,0.57
zhenxingma,posLen_tp_10_rand_c,3,238,0.24
zhenxingma,posLen_tp_10_rand_c,3,856,0.22
zhenxingma,posLen_tp_10_rand_c,3,156,0.5
zhenxingma,posLen_tp_10_rand_c,4,985,0.54
zhenxingma,posLen_tp_10_rand_c,4,734,1
zhenxingma,posLen_tp_10_rand_c,4,18,0.79
zhenxingma,posLen_tp_10_rand_c,4,964,0.29
zhenxingma,posLen_tp_10_rand_c,4,929,0.42
zhenxingma,posLen_tp_10_rand_c,5,986,0.28
zhenxingma,posLen_tp_10_rand_c,5,836,0.25
zhenxingma,posLen_tp_10_rand_c,5,851,0.93
zhenxingma,posLen_tp_10_rand_c,5,35,0.45
zhenxingma,posLen_tp_10_rand_c,5,728,0.49
zhenxingma,posLen_tp_10_rand_c,6,986,0.29
zhenxingma,posLen_tp_10_rand_c,6,836,0.26
zhenxingma,posLen_tp_10_rand_c,6,851,0.94
zhenxingma,posLen_tp_10_rand_c,6,35,0.46
zhenxingma,posLen_tp_10_rand_c,6,728,0.5
zhenxingma,posLen_tp_10_rand_c,7,986,0.36
zhenxingma,posLen_tp_10_rand_c,7,836,0.33
zhenxingma,posLen_tp_10_rand_c,7,851,1.01
zhenxingma,posLen_tp_10_rand_c,7,35,0.53
zhenxingma,posLen_tp_10_rand_c,7,728,0.57
zhenxingma,posLen_tp_10_rand_c,8,986,0.3
zhenxingma,posLen_tp_10_rand_c,8,836,0.27
zhenxingma,posLen_tp_10_rand_c,8,851,0.95
zhenxingma,posLen_tp_10_rand_c,8,35,0.47
zhenxingma,posLen_tp_10_rand_c,8,728,0.51
