userName,label,test_id,Id,predict_value
Cindy,posLen_tp_11_rand_c,0,299,0.6
Cindy,posLen_tp_11_rand_c,0,916,0.53
Cindy,posLen_tp_11_rand_c,0,272,0.75
Cindy,posLen_tp_11_rand_c,0,148,0.7
Cindy,posLen_tp_11_rand_c,0,461,0.55
Cindy,posLen_tp_11_rand_c,1,137,0.3
Cindy,posLen_tp_11_rand_c,1,951,0.8
Cindy,posLen_tp_11_rand_c,1,374,0.5
Cindy,posLen_tp_11_rand_c,1,534,0.11
Cindy,posLen_tp_11_rand_c,1,215,0.5
Cindy,posLen_tp_11_rand_c,2,658,0.55
Cindy,posLen_tp_11_rand_c,2,316,0.28
Cindy,posLen_tp_11_rand_c,2,930,0.25
Cindy,posLen_tp_11_rand_c,2,536,0.85
Cindy,posLen_tp_11_rand_c,2,399,0.5
Cindy,posLen_tp_11_rand_c,3,810,0.5
Cindy,posLen_tp_11_rand_c,3,205,0.68
Cindy,posLen_tp_11_rand_c,3,415,0.6
Cindy,posLen_tp_11_rand_c,3,358,0.77
Cindy,posLen_tp_11_rand_c,3,553,0.29
Cindy,posLen_tp_11_rand_c,4,65,0.33
Cindy,posLen_tp_11_rand_c,4,228,0.9
Cindy,posLen_tp_11_rand_c,4,816,0.96
Cindy,posLen_tp_11_rand_c,4,105,0.58
Cindy,posLen_tp_11_rand_c,4,35,0.52
Cindy,posLen_tp_11_rand_c,5,513,0.99
Cindy,posLen_tp_11_rand_c,5,173,0.2
Cindy,posLen_tp_11_rand_c,5,515,0.72
Cindy,posLen_tp_11_rand_c,5,678,0.14
Cindy,posLen_tp_11_rand_c,5,315,0.55
Cindy,posLen_tp_11_rand_c,6,513,1.0
Cindy,posLen_tp_11_rand_c,6,173,0.21
Cindy,posLen_tp_11_rand_c,6,515,0.73
Cindy,posLen_tp_11_rand_c,6,678,0.15
Cindy,posLen_tp_11_rand_c,6,315,0.56
Cindy,posLen_tp_11_rand_c,7,513,1.08
Cindy,posLen_tp_11_rand_c,7,173,0.29
Cindy,posLen_tp_11_rand_c,7,515,0.81
Cindy,posLen_tp_11_rand_c,7,678,0.23
Cindy,posLen_tp_11_rand_c,7,315,0.64
Cindy,posLen_tp_11_rand_c,8,513,1.01
Cindy,posLen_tp_11_rand_c,8,173,0.22
Cindy,posLen_tp_11_rand_c,8,515,0.74
Cindy,posLen_tp_11_rand_c,8,678,0.16
Cindy,posLen_tp_11_rand_c,8,315,0.57
