userName,label,test_id,Id,predict_value
Daniel,posLen_tp_11_rand_c,0,254,0.95
Daniel,posLen_tp_11_rand_c,0,969,0.48
Daniel,posLen_tp_11_rand_c,0,972,0.26
Daniel,posLen_tp_11_rand_c,0,163,0.99
Daniel,posLen_tp_11_rand_c,0,945,0.44
Daniel,posLen_tp_11_rand_c,1,69,0.86
Daniel,posLen_tp_11_rand_c,1,327,0.51
Daniel,posLen_tp_11_rand_c,1,439,0.67
Daniel,posLen_tp_11_rand_c,1,31,0.4
Daniel,posLen_tp_11_rand_c,1,633,1.03
Daniel,posLen_tp_11_rand_c,2,371,0.33
Daniel,posLen_tp_11_rand_c,2,120,0.92
Daniel,posLen_tp_11_rand_c,2,118,0.94
Daniel,posLen_tp_11_rand_c,2,426,0.94
Daniel,posLen_tp_11_rand_c,2,90,0.8
Daniel,posLen_tp_11_rand_c,3,195,0.73
Daniel,posLen_tp_11_rand_c,3,754,0.6
Daniel,posLen_tp_11_rand_c,3,958,0.81
Daniel,posLen_tp_11_rand_c,3,862,0.64
Daniel,posLen_tp_11_rand_c,3,530,0.34
Daniel,posLen_tp_11_rand_c,4,961,0.73
Daniel,posLen_tp_11_rand_c,4,318,0.72
Daniel,posLen_tp_11_rand_c,4,724,0.7
Daniel,posLen_tp_11_rand_c,4,927,0.54
Daniel,posLen_tp_11_rand_c,4,205,0.83
Daniel,posLen_tp_11_rand_c,5,938,0.92
Daniel,posLen_tp_11_rand_c,5,424,0.18
Daniel,posLen_tp_11_rand_c,5,430,0.41
Daniel,posLen_tp_11_rand_c,5,257,0.77
Daniel,posLen_tp_11_rand_c,5,464,0.92
Daniel,posLen_tp_11_rand_c,6,938,0.93
Daniel,posLen_tp_11_rand_c,6,424,0.19
Daniel,posLen_tp_11_rand_c,6,430,0.42
Daniel,posLen_tp_11_rand_c,6,257,0.78
Daniel,posLen_tp_11_rand_c,6,464,0.93
Daniel,posLen_tp_11_rand_c,7,938,1.01
Daniel,posLen_tp_11_rand_c,7,424,0.27
Daniel,posLen_tp_11_rand_c,7,430,0.5
Daniel,posLen_tp_11_rand_c,7,257,0.86
Daniel,posLen_tp_11_rand_c,7,464,1.01
Daniel,posLen_tp_11_rand_c,8,938,0.94
Daniel,posLen_tp_11_rand_c,8,424,0.2
Daniel,posLen_tp_11_rand_c,8,430,0.43
Daniel,posLen_tp_11_rand_c,8,257,0.79
Daniel,posLen_tp_11_rand_c,8,464,0.94
