userName,label,test_id,Id,predict_value
Sophia,posLen_tp_11_rand_c,0,929,0.32
Sophia,posLen_tp_11_rand_c,0,58,0.62
Sophia,posLen_tp_11_rand_c,0,970,0.58
Sophia,posLen_tp_11_rand_c,0,266,0.9
Sophia,posLen_tp_11_rand_c,0,622,0.6
Sophia,posLen_tp_11_rand_c,1,894,0.58
Sophia,posLen_tp_11_rand_c,1,868,0.27
Sophia,posLen_tp_11_rand_c,1,864,0.81
Sophia,posLen_tp_11_rand_c,1,429,0.78
Sophia,posLen_tp_11_rand_c,1,781,0.8
Sophia,posLen_tp_11_rand_c,2,68,0.75
Sophia,posLen_tp_11_rand_c,2,489,0.14
Sophia,posLen_tp_11_rand_c,2,370,0.6
Sophia,posLen_tp_11_rand_c,2,491,0.9
Sophia,posLen_tp_11_rand_c,2,725,0.5
Sophia,posLen_tp_11_rand_c,3,462,0.3
Sophia,posLen_tp_11_rand_c,3,524,0.41
Sophia,posLen_tp_11_rand_c,3,345,0.45
Sophia,posLen_tp_11_rand_c,3,20,0.62
Sophia,posLen_tp_11_rand_c,3,978,0.32
Sophia,posLen_tp_11_rand_c,4,773,0.38
Sophia,posLen_tp_11_rand_c,4,462,0.31
Sophia,posLen_tp_11_rand_c,4,484,0.9
Sophia,posLen_tp_11_rand_c,4,979,0.92
Sophia,posLen_tp_11_rand_c,4,952,0.27
Sophia,posLen_tp_11_rand_c,5,343,0.41
Sophia,posLen_tp_11_rand_c,5,330,0.3
Sophia,posLen_tp_11_rand_c,5,759,0.33
Sophia,posLen_tp_11_rand_c,5,240,0.41
Sophia,posLen_tp_11_rand_c,5,322,0.2
Sophia,posLen_tp_11_rand_c,6,343,0.42
Sophia,posLen_tp_11_rand_c,6,330,0.31
Sophia,posLen_tp_11_rand_c,6,759,0.34
Sophia,posLen_tp_11_rand_c,6,240,0.42
Sophia,posLen_tp_11_rand_c,6,322,0.21
Sophia,posLen_tp_11_rand_c,7,343,0.5
Sophia,posLen_tp_11_rand_c,7,330,0.39
Sophia,posLen_tp_11_rand_c,7,759,0.42
Sophia,posLen_tp_11_rand_c,7,240,0.5
Sophia,posLen_tp_11_rand_c,7,322,0.29
Sophia,posLen_tp_11_rand_c,8,343,0.43
Sophia,posLen_tp_11_rand_c,8,330,0.32
Sophia,posLen_tp_11_rand_c,8,759,0.35
Sophia,posLen_tp_11_rand_c,8,240,0.43
Sophia,posLen_tp_11_rand_c,8,322,0.22
