userName,label,test_id,Id,predict_value
lili,posLen_tp_11_rand_c,0,257,0.68
lili,posLen_tp_11_rand_c,0,219,0.52
lili,posLen_tp_11_rand_c,0,753,0.61
lili,posLen_tp_11_rand_c,0,920,0.48
lili,posLen_tp_11_rand_c,0,22,0.8
lili,posLen_tp_11_rand_c,1,859,0.97
lili,posLen_tp_11_rand_c,1,639,0.43
lili,posLen_tp_11_rand_c,1,491,0.84
lili,posLen_tp_11_rand_c,1,735,0.53
lili,posLen_tp_11_rand_c,1,285,0.55
lili,posLen_tp_11_rand_c,2,469,0.42
lili,posLen_tp_11_rand_c,2,764,0.21
lili,posLen_tp_11_rand_c,2,591,0.24
lili,posLen_tp_11_rand_c,2,691,0.51
lili,posLen_tp_11_rand_c,2,399,0.31
lili,posLen_tp_11_rand_c,3,934,0.97
lili,posLen_tp_11_rand_c,3,488,0.16
lili,posLen_tp_11_rand_c,3,983,0.83
lili,posLen_tp_11_rand_c,3,472,0.09
lili,posLen_tp_11_rand_c,3,237,0.32
lili,posLen_tp_11_rand_c,4,539,0.51
lili,posLen_tp_11_rand_c,4,26,0.2
lili,posLen_tp_11_rand_c,4,628,0.4
lili,posLen_tp_11_rand_c,4,305,0.27
lili,posLen_tp_11_rand_c,4,709,0.12
lili,posLen_tp_11_rand_c,5,250,0.6
lili,posLen_tp_11_rand_c,5,741,0.99
lili,posLen_tp_11_rand_c,5,921,0.54
lili,posLen_tp_11_rand_c,5,454,0.18
lili,posLen_tp_11_rand_c,5,776,0.13
lili,posLen_tp_11_rand_c,6,250,0.61
lili,posLen_tp_11_rand_c,6,741,1.0
lili,posLen_tp_11_rand_c,6,921,0.55
lili,posLen_tp_11_rand_c,6,454,0.19
lili,posLen_tp_11_rand_c,6,776,0.14
lili,posLen_tp_11_rand_c,7,250,0.69
lili,posLen_tp_11_rand_c,7,741,1.08
lili,posLen_tp_11_rand_c,7,921,0.63
lili,posLen_tp_11_rand_c,7,454,0.27
lili,posLen_tp_11_rand_c,7,776,0.22
lili,posLen_tp_11_rand_c,8,250,0.62
lili,posLen_tp_11_rand_c,8,741,1.01
lili,posLen_tp_11_rand_c,8,921,0.56
lili,posLen_tp_11_rand_c,8,454,0.2
lili,posLen_tp_11_rand_c,8,776,0.15
