userName,label,test_id,Id,predict_value
wyf4,posLen_tp_11_rand_c,0,177,0.41
wyf4,posLen_tp_11_rand_c,0,7,0.48
wyf4,posLen_tp_11_rand_c,0,962,0.57
wyf4,posLen_tp_11_rand_c,0,399,0.42
wyf4,posLen_tp_11_rand_c,0,156,0.25
wyf4,posLen_tp_11_rand_c,1,862,0.53
wyf4,posLen_tp_11_rand_c,1,768,0.52
wyf4,posLen_tp_11_rand_c,1,121,0.22
wyf4,posLen_tp_11_rand_c,1,180,0.98
wyf4,posLen_tp_11_rand_c,1,80,1
wyf4,posLen_tp_11_rand_c,2,24,0.87
wyf4,posLen_tp_11_rand_c,2,578,0.11
wyf4,posLen_tp_11_rand_c,2,353,0.54
wyf4,posLen_tp_11_rand_c,2,618,0.23
wyf4,posLen_tp_11_rand_c,2,310,0.59
wyf4,posLen_tp_11_rand_c,3,526,0.35
wyf4,posLen_tp_11_rand_c,3,107,0.64
wyf4,posLen_tp_11_rand_c,3,447,0.5
wyf4,posLen_tp_11_rand_c,3,928,0.27
wyf4,posLen_tp_11_rand_c,3,987,0.45
wyf4,posLen_tp_11_rand_c,4,839,0.52
wyf4,posLen_tp_11_rand_c,4,189,0.48
wyf4,posLen_tp_11_rand_c,4,904,0.3
wyf4,posLen_tp_11_rand_c,4,307,0.74
wyf4,posLen_tp_11_rand_c,4,377,0.95
wyf4,posLen_tp_11_rand_c,5,101,0.98
wyf4,posLen_tp_11_rand_c,5,186,1
wyf4,posLen_tp_11_rand_c,5,257,0.79
wyf4,posLen_tp_11_rand_c,5,617,0.22
wyf4,posLen_tp_11_rand_c,5,137,0.34
wyf4,posLen_tp_11_rand_c,6,101,0.99
wyf4,posLen_tp_11_rand_c,6,186,1.01
wyf4,posLen_tp_11_rand_c,6,257,0.8
wyf4,posLen_tp_11_rand_c,6,617,0.23
wyf4,posLen_tp_11_rand_c,6,137,0.35
wyf4,posLen_tp_11_rand_c,7,101,1.07
wyf4,posLen_tp_11_rand_c,7,186,1.09
wyf4,posLen_tp_11_rand_c,7,257,0.88
wyf4,posLen_tp_11_rand_c,7,617,0.31
wyf4,posLen_tp_11_rand_c,7,137,0.43
wyf4,posLen_tp_11_rand_c,8,101,1.0
wyf4,posLen_tp_11_rand_c,8,186,1.02
wyf4,posLen_tp_11_rand_c,8,257,0.81
wyf4,posLen_tp_11_rand_c,8,617,0.24
wyf4,posLen_tp_11_rand_c,8,137,0.36
