userName,label,test_id,Id,predict_value
Brian,posLen_tp_12_rand_c,0,47,0.74
Brian,posLen_tp_12_rand_c,0,438,0.52
Brian,posLen_tp_12_rand_c,0,934,0.27
Brian,posLen_tp_12_rand_c,0,387,0.22
Brian,posLen_tp_12_rand_c,0,253,0.31
Brian,posLen_tp_12_rand_c,1,528,0.58
Brian,posLen_tp_12_rand_c,1,481,0.82
Brian,posLen_tp_12_rand_c,1,723,0.43
Brian,posLen_tp_12_rand_c,1,128,0.75
Brian,posLen_tp_12_rand_c,1,655,0.68
Brian,posLen_tp_12_rand_c,2,103,0.52
Brian,posLen_tp_12_rand_c,2,79,0.98
Brian,posLen_tp_12_rand_c,2,803,0.72
Brian,posLen_tp_12_rand_c,2,108,0.47
Brian,posLen_tp_12_rand_c,2,282,0.94
Brian,posLen_tp_12_rand_c,3,961,0.8
Brian,posLen_tp_12_rand_c,3,388,0.6
Brian,posLen_tp_12_rand_c,3,121,0.46
Brian,posLen_tp_12_rand_c,3,957,0.76
Brian,posLen_tp_12_rand_c,3,877,0.68
Brian,posLen_tp_12_rand_c,4,792,1.05
Brian,posLen_tp_12_rand_c,4,354,0.78
Brian,posLen_tp_12_rand_c,4,442,0.84
Brian,posLen_tp_12_rand_c,4,611,0.46
Brian,posLen_tp_12_rand_c,4,989,0.68
Brian,posLen_tp_12_rand_c,5,971,0.51
Brian,posLen_tp_12_rand_c,5,909,0.59
Brian,posLen_tp_12_rand_c,5,335,0.31
Brian,posLen_tp_12_rand_c,5,165,0.72
Brian,posLen_tp_12_rand_c,5,913,0.57
Brian,posLen_tp_12_rand_c,6,971,0.52
Brian,posLen_tp_12_rand_c,6,909,0.6
Brian,posLen_tp_12_rand_c,6,335,0.32
Brian,posLen_tp_12_rand_c,6,165,0.73
Brian,posLen_tp_12_rand_c,6,913,0.58
Brian,posLen_tp_12_rand_c,7,971,0.57
Brian,posLen_tp_12_rand_c,7,909,0.65
Brian,posLen_tp_12_rand_c,7,335,0.37
Brian,posLen_tp_12_rand_c,7,165,0.78
Brian,posLen_tp_12_rand_c,7,913,0.63
Brian,posLen_tp_12_rand_c,8,971,0.53
Brian,posLen_tp_12_rand_c,8,909,0.61
Brian,posLen_tp_12_rand_c,8,335,0.33
Brian,posLen_tp_12_rand_c,8,165,0.74
Brian,posLen_tp_12_rand_c,8,913,0.59
