userName,label,test_id,Id,predict_value
jkl,posLen_tp_12_rand_c,0,821,0.44
jkl,posLen_tp_12_rand_c,0,825,0.63
jkl,posLen_tp_12_rand_c,0,102,0.92
jkl,posLen_tp_12_rand_c,0,58,0.19
jkl,posLen_tp_12_rand_c,0,782,0.54
jkl,posLen_tp_12_rand_c,1,117,0.65
jkl,posLen_tp_12_rand_c,1,797,0.49
jkl,posLen_tp_12_rand_c,1,953,0.69
jkl,posLen_tp_12_rand_c,1,129,0.28
jkl,posLen_tp_12_rand_c,1,385,0.89
jkl,posLen_tp_12_rand_c,2,674,0.15
jkl,posLen_tp_12_rand_c,2,276,0.91
jkl,posLen_tp_12_rand_c,2,644,0.73
jkl,posLen_tp_12_rand_c,2,200,0.53
jkl,posLen_tp_12_rand_c,2,253,0.19
jkl,posLen_tp_12_rand_c,3,509,0.61
jkl,posLen_tp_12_rand_c,3,204,0.97
jkl,posLen_tp_12_rand_c,3,531,0.28
jkl,posLen_tp_12_rand_c,3,189,0.56
jkl,posLen_tp_12_rand_c,3,151,0.53
jkl,posLen_tp_12_rand_c,4,46,0.47
jkl,posLen_tp_12_rand_c,4,814,0.56
jkl,posLen_tp_12_rand_c,4,908,0.67
jkl,posLen_tp_12_rand_c,4,674,0.24
jkl,posLen_tp_12_rand_c,4,573,0.33
jkl,posLen_tp_12_rand_c,5,293,0.28
jkl,posLen_tp_12_rand_c,5,436,0.33
jkl,posLen_tp_12_rand_c,5,39,0.7
jkl,posLen_tp_12_rand_c,5,145,0.28
jkl,posLen_tp_12_rand_c,5,347,0.38
jkl,posLen_tp_12_rand_c,6,293,0.29
jkl,posLen_tp_12_rand_c,6,436,0.34
jkl,posLen_tp_12_rand_c,6,39,0.71
jkl,posLen_tp_12_rand_c,6,145,0.29
jkl,posLen_tp_12_rand_c,6,347,0.39
jkl,posLen_tp_12_rand_c,7,293,0.34
jkl,posLen_tp_12_rand_c,7,436,0.39
jkl,posLen_tp_12_rand_c,7,39,0.76
jkl,posLen_tp_12_rand_c,7,145,0.34
jkl,posLen_tp_12_rand_c,7,347,0.44
jkl,posLen_tp_12_rand_c,8,293,0.3
jkl,posLen_tp_12_rand_c,8,436,0.35
jkl,posLen_tp_12_rand_c,8,39,0.72
jkl,posLen_tp_12_rand_c,8,145,0.3
jkl,posLen_tp_12_rand_c,8,347,0.4
