userName,label,test_id,Id,predict_value
wyf,posLen_tp_12_rand_c,0,236,0.25
wyf,posLen_tp_12_rand_c,0,508,0.15
wyf,posLen_tp_12_rand_c,0,22,0.83
wyf,posLen_tp_12_rand_c,0,606,1
wyf,posLen_tp_12_rand_c,0,500,0.83
wyf,posLen_tp_12_rand_c,1,703,0.33
wyf,posLen_tp_12_rand_c,1,513,0.2
wyf,posLen_tp_12_rand_c,1,8,0.5
wyf,posLen_tp_12_rand_c,1,969,0.25
wyf,posLen_tp_12_rand_c,1,5,0.42
wyf,posLen_tp_12_rand_c,2,911,0.95
wyf,posLen_tp_12_rand_c,2,538,0.2
wyf,posLen_tp_12_rand_c,2,455,0.99
wyf,posLen_tp_12_rand_c,2,757,0.48
wyf,posLen_tp_12_rand_c,2,102,0.98
wyf,posLen_tp_12_rand_c,3,852,0.46
wyf,posLen_tp_12_rand_c,3,254,0.16
wyf,posLen_tp_12_rand_c,3,578,0.97
wyf,posLen_tp_12_rand_c,3,328,1
wyf,posLen_tp_12_rand_c,3,924,0.15
wyf,posLen_tp_12_rand_c,4,733,0.91
wyf,posLen_tp_12_rand_c,4,169,1
wyf,posLen_tp_12_rand_c,4,464,0.8
wyf,posLen_tp_12_rand_c,4,743,0.27
wyf,posLen_tp_12_rand_c,4,182,1
wyf,posLen_tp_12_rand_c,5,90,0.9
wyf,posLen_tp_12_rand_c,5,333,0.9
wyf,posLen_tp_12_rand_c,5,920,0.7
wyf,posLen_tp_12_rand_c,5,209,0.87
wyf,posLen_tp_12_rand_c,5,202,0.6
wyf,posLen_tp_12_rand_c,6,90,0.91
wyf,posLen_tp_12_rand_c,6,333,0.91
wyf,posLen_tp_12_rand_c,6,920,0.71
wyf,posLen_tp_12_rand_c,6,209,0.88
wyf,posLen_tp_12_rand_c,6,202,0.61
wyf,posLen_tp_12_rand_c,7,90,0.96
wyf,posLen_tp_12_rand_c,7,333,0.96
wyf,posLen_tp_12_rand_c,7,920,0.76
wyf,posLen_tp_12_rand_c,7,209,0.93
wyf,posLen_tp_12_rand_c,7,202,0.66
wyf,posLen_tp_12_rand_c,8,90,0.92
wyf,posLen_tp_12_rand_c,8,333,0.92
wyf,posLen_tp_12_rand_c,8,920,0.72
wyf,posLen_tp_12_rand_c,8,209,0.89
wyf,posLen_tp_12_rand_c,8,202,0.62
