userName,label,test_id,Id,predict_value
cxh,posLen_tp_1_rand_c,0,12,0.49
cxh,posLen_tp_1_rand_c,0,2,0.86
cxh,posLen_tp_1_rand_c,0,92,0.78
cxh,posLen_tp_1_rand_c,0,25,0.68
cxh,posLen_tp_1_rand_c,0,79,0.64
cxh,posLen_tp_1_rand_c,1,35,0.56
cxh,posLen_tp_1_rand_c,1,12,0.78
cxh,posLen_tp_1_rand_c,1,61,0.67
cxh,posLen_tp_1_rand_c,1,20,0.21
cxh,posLen_tp_1_rand_c,1,50,0.51
cxh,posLen_tp_1_rand_c,2,72,0.29
cxh,posLen_tp_1_rand_c,2,51,0.93
cxh,posLen_tp_1_rand_c,2,11,0.50
cxh,posLen_tp_1_rand_c,2,78,0.49
cxh,posLen_tp_1_rand_c,2,23,0.89
cxh,posLen_tp_1_rand_c,3,61,0.77
cxh,posLen_tp_1_rand_c,3,41,0.53
cxh,posLen_tp_1_rand_c,3,46,0.78
cxh,posLen_tp_1_rand_c,3,14,0.78
cxh,posLen_tp_1_rand_c,3,93,0.78
cxh,posLen_tp_1_rand_c,4,8,.081
cxh,posLen_tp_1_rand_c,4,188,0.37
cxh,posLen_tp_1_rand_c,4,390,0.93
cxh,posLen_tp_1_rand_c,4,13,0.2
cxh,posLen_tp_1_rand_c,4,45,0.7
cxh,posLen_tp_1_rand_c,5,660,0.78
cxh,posLen_tp_1_rand_c,5,28,0.38
cxh,posLen_tp_1_rand_c,5,215,0.32
cxh,posLen_tp_1_rand_c,5,52,0.87
cxh,posLen_tp_1_rand_c,5,933,0.92
cxh,posLen_tp_1_rand_c,6,60,0.79
cxh,posLen_tp_1_rand_c,6,28,0.39
cxh,posLen_tp_1_rand_c,6,215,0.33
cxh,posLen_tp_1_rand_c,6,52,0.88
cxh,posLen_tp_1_rand_c,6,933,0.93
cxh,posLen_tp_1_rand_c,7,660,0.86
cxh,posLen_tp_1_rand_c,7,28,0.46
cxh,posLen_tp_1_rand_c,7,215,0.4
cxh,posLen_tp_1_rand_c,7,582,0.95
cxh,posLen_tp_1_rand_c,7,93,1.0
cxh,posLen_tp_1_rand_c,8,660,0.82
cxh,posLen_tp_1_rand_c,8,268,0.42
cxh,posLen_tp_1_rand_c,8,25,0.36
cxh,posLen_tp_1_rand_c,8,582,0.91
cxh,posLen_tp_1_rand_c,8,93,0.96
