userName,label,test_id,Id,predict_value
liqingzheng,posLen_tp_1_rand_c,0,983,0.7
liqingzheng,posLen_tp_1_rand_c,0,916,0.63
liqingzheng,posLen_tp_1_rand_c,0,43,0.73
liqingzheng,posLen_tp_1_rand_c,0,188,0.37
liqingzheng,posLen_tp_1_rand_c,0,896,0.52
liqingzheng,posLen_tp_1_rand_c,1,679,0.68
liqingzheng,posLen_tp_1_rand_c,1,760,0.47
liqingzheng,posLen_tp_1_rand_c,1,140,0.44
liqingzheng,posLen_tp_1_rand_c,1,131,0.67
liqingzheng,posLen_tp_1_rand_c,1,356,0.67
liqingzheng,posLen_tp_1_rand_c,2,605,0.37
liqingzheng,posLen_tp_1_rand_c,2,63,0.72
liqingzheng,posLen_tp_1_rand_c,2,265,0.73
liqingzheng,posLen_tp_1_rand_c,2,102,0.47
liqingzheng,posLen_tp_1_rand_c,2,897,0.94
liqingzheng,posLen_tp_1_rand_c,3,663,0.56
liqingzheng,posLen_tp_1_rand_c,3,784,0.21
liqingzheng,posLen_tp_1_rand_c,3,602,0.69
liqingzheng,posLen_tp_1_rand_c,3,93,0.87
liqingzheng,posLen_tp_1_rand_c,3,730,0.7
liqingzheng,posLen_tp_1_rand_c,4,850,0.41
liqingzheng,posLen_tp_1_rand_c,4,468,0.21
liqingzheng,posLen_tp_1_rand_c,4,705,1
liqingzheng,posLen_tp_1_rand_c,4,356,0.67
liqingzheng,posLen_tp_1_rand_c,4,510,0.82
liqingzheng,posLen_tp_1_rand_c,5,595,0.63
liqingzheng,posLen_tp_1_rand_c,5,604,0.25
liqingzheng,posLen_tp_1_rand_c,5,605,0.41
liqingzheng,posLen_tp_1_rand_c,5,135,0.95
liqingzheng,posLen_tp_1_rand_c,5,61,0.77
liqingzheng,posLen_tp_1_rand_c,6,595,0.64
liqingzheng,posLen_tp_1_rand_c,6,604,0.26
liqingzheng,posLen_tp_1_rand_c,6,605,0.42
liqingzheng,posLen_tp_1_rand_c,6,135,0.96
liqingzheng,posLen_tp_1_rand_c,6,61,0.78
liqingzheng,posLen_tp_1_rand_c,7,595,0.71
liqingzheng,posLen_tp_1_rand_c,7,604,0.33
liqingzheng,posLen_tp_1_rand_c,7,605,0.49
liqingzheng,posLen_tp_1_rand_c,7,135,1.03
liqingzheng,posLen_tp_1_rand_c,7,61,0.85
liqingzheng,posLen_tp_1_rand_c,8,595,0.67
liqingzheng,posLen_tp_1_rand_c,8,604,0.29
liqingzheng,posLen_tp_1_rand_c,8,605,0.45
liqingzheng,posLen_tp_1_rand_c,8,135,0.99
liqingzheng,posLen_tp_1_rand_c,8,61,0.81
