userName,label,test_id,Id,predict_value
zyr,posLen_tp_1_rand_c,0,150,0.99
zyr,posLen_tp_1_rand_c,0,227,0.45
zyr,posLen_tp_1_rand_c,0,954,0.64
zyr,posLen_tp_1_rand_c,0,24,0.97
zyr,posLen_tp_1_rand_c,0,745,0.55
zyr,posLen_tp_1_rand_c,1,229,0.97
zyr,posLen_tp_1_rand_c,1,277,0.49
zyr,posLen_tp_1_rand_c,1,367,0.18
zyr,posLen_tp_1_rand_c,1,406,0.68
zyr,posLen_tp_1_rand_c,1,619,0.82
zyr,posLen_tp_1_rand_c,2,977,0.22
zyr,posLen_tp_1_rand_c,2,464,0.55
zyr,posLen_tp_1_rand_c,2,501,0.7
zyr,posLen_tp_1_rand_c,2,633,0.58
zyr,posLen_tp_1_rand_c,2,690,0.78
zyr,posLen_tp_1_rand_c,3,904,0.46
zyr,posLen_tp_1_rand_c,3,608,0.4
zyr,posLen_tp_1_rand_c,3,832,0.7
zyr,posLen_tp_1_rand_c,3,667,0.78
zyr,posLen_tp_1_rand_c,3,565,0.82
zyr,posLen_tp_1_rand_c,4,796,0.64
zyr,posLen_tp_1_rand_c,4,903,0.88
zyr,posLen_tp_1_rand_c,4,520,0.11
zyr,posLen_tp_1_rand_c,4,674,0.3
zyr,posLen_tp_1_rand_c,4,677,0.95
zyr,posLen_tp_1_rand_c,5,665,0.68
zyr,posLen_tp_1_rand_c,5,283,0.31
zyr,posLen_tp_1_rand_c,5,581,0.18
zyr,posLen_tp_1_rand_c,5,416,0.62
zyr,posLen_tp_1_rand_c,5,778,0.39
zyr,posLen_tp_1_rand_c,6,665,0.69
zyr,posLen_tp_1_rand_c,6,283,0.32
zyr,posLen_tp_1_rand_c,6,581,0.19
zyr,posLen_tp_1_rand_c,6,416,0.63
zyr,posLen_tp_1_rand_c,6,778,0.4
zyr,posLen_tp_1_rand_c,7,665,0.76
zyr,posLen_tp_1_rand_c,7,283,0.39
zyr,posLen_tp_1_rand_c,7,581,0.26
zyr,posLen_tp_1_rand_c,7,416,0.7
zyr,posLen_tp_1_rand_c,7,778,0.47
zyr,posLen_tp_1_rand_c,8,665,0.72
zyr,posLen_tp_1_rand_c,8,283,0.35
zyr,posLen_tp_1_rand_c,8,581,0.22
zyr,posLen_tp_1_rand_c,8,416,0.66
zyr,posLen_tp_1_rand_c,8,778,0.43
