userName,label,test_id,Id,predict_value
cdx,posLen_tp_7_rand_c,0,52,0.82
cdx,posLen_tp_7_rand_c,0,41,0.38
cdx,posLen_tp_7_rand_c,0,48,1
cdx,posLen_tp_7_rand_c,0,18,0.38
cdx,posLen_tp_7_rand_c,0,70,0.85
cdx,posLen_tp_7_rand_c,1,17,0.98
cdx,posLen_tp_7_rand_c,1,57,0.19
cdx,posLen_tp_7_rand_c,1,25,0.08
cdx,posLen_tp_7_rand_c,1,570,0.99
cdx,posLen_tp_7_rand_c,1,187,0.67
cdx,posLen_tp_7_rand_c,2,426,0.57
cdx,posLen_tp_7_rand_c,2,619,0.68
cdx,posLen_tp_7_rand_c,2,28,0.84
cdx,posLen_tp_7_rand_c,2,18,0.32
cdx,posLen_tp_7_rand_c,2,19,0.54
cdx,posLen_tp_7_rand_c,3,20,0.45
cdx,posLen_tp_7_rand_c,3,64,0.38
cdx,posLen_tp_7_rand_c,3,63,0.65
cdx,posLen_tp_7_rand_c,3,18,0.1
cdx,posLen_tp_7_rand_c,3,18,0.62
cdx,posLen_tp_7_rand_c,4,142,0.54
cdx,posLen_tp_7_rand_c,4,226,0.52
cdx,posLen_tp_7_rand_c,4,303,0.83
cdx,posLen_tp_7_rand_c,4,220,0.91
cdx,posLen_tp_7_rand_c,4,260,0.37
cdx,posLen_tp_7_rand_c,5,227,0.25
cdx,posLen_tp_7_rand_c,5,537,0.75
cdx,posLen_tp_7_rand_c,5,90,0.96
cdx,posLen_tp_7_rand_c,5,334,0.88
cdx,posLen_tp_7_rand_c,5,846,0.67
cdx,posLen_tp_7_rand_c,6,527,0.26
cdx,posLen_tp_7_rand_c,6,337,0.76
cdx,posLen_tp_7_rand_c,6,590,0.97
cdx,posLen_tp_7_rand_c,6,434,0.89
cdx,posLen_tp_7_rand_c,6,446,0.68
cdx,posLen_tp_7_rand_c,7,727,0.33
cdx,posLen_tp_7_rand_c,7,537,0.83
cdx,posLen_tp_7_rand_c,7,590,1.04
cdx,posLen_tp_7_rand_c,7,734,0.96
cdx,posLen_tp_7_rand_c,7,346,0.75
cdx,posLen_tp_7_rand_c,8,127,0.29
cdx,posLen_tp_7_rand_c,8,237,0.79
cdx,posLen_tp_7_rand_c,8,590,1.0
cdx,posLen_tp_7_rand_c,8,834,0.92
cdx,posLen_tp_7_rand_c,8,546,0.71
