userName,label,test_id,Id,predict_value
czxyyds,posLen_tp_7_rand_c,0,66,0.8
czxyyds,posLen_tp_7_rand_c,0,122,1
czxyyds,posLen_tp_7_rand_c,0,677,0.5
czxyyds,posLen_tp_7_rand_c,0,747,0.6
czxyyds,posLen_tp_7_rand_c,0,552,0.9
czxyyds,posLen_tp_7_rand_c,1,610,0.8
czxyyds,posLen_tp_7_rand_c,1,915,0.5
czxyyds,posLen_tp_7_rand_c,1,278,0.35
czxyyds,posLen_tp_7_rand_c,1,942,0.95
czxyyds,posLen_tp_7_rand_c,1,875,0.9
czxyyds,posLen_tp_7_rand_c,2,781,0.85
czxyyds,posLen_tp_7_rand_c,2,10,0.5
czxyyds,posLen_tp_7_rand_c,2,756,0.8
czxyyds,posLen_tp_7_rand_c,2,759,0.4
czxyyds,posLen_tp_7_rand_c,2,662,0.4
czxyyds,posLen_tp_7_rand_c,3,672,0.8
czxyyds,posLen_tp_7_rand_c,3,163,0.4
czxyyds,posLen_tp_7_rand_c,3,406,0.5
czxyyds,posLen_tp_7_rand_c,3,597,1
czxyyds,posLen_tp_7_rand_c,3,912,0.3
czxyyds,posLen_tp_7_rand_c,4,365,0.5
czxyyds,posLen_tp_7_rand_c,4,358,0.94
czxyyds,posLen_tp_7_rand_c,4,17,0.85
czxyyds,posLen_tp_7_rand_c,4,656,0.93
czxyyds,posLen_tp_7_rand_c,4,472,0.2
czxyyds,posLen_tp_7_rand_c,5,183,0.5
czxyyds,posLen_tp_7_rand_c,5,171,0.44
czxyyds,posLen_tp_7_rand_c,5,47,0.6
czxyyds,posLen_tp_7_rand_c,5,20,0.91
czxyyds,posLen_tp_7_rand_c,5,843,0.5
czxyyds,posLen_tp_7_rand_c,6,183,0.51
czxyyds,posLen_tp_7_rand_c,6,171,0.45
czxyyds,posLen_tp_7_rand_c,6,47,0.61
czxyyds,posLen_tp_7_rand_c,6,20,0.92
czxyyds,posLen_tp_7_rand_c,6,843,0.51
czxyyds,posLen_tp_7_rand_c,7,183,0.58
czxyyds,posLen_tp_7_rand_c,7,171,0.52
czxyyds,posLen_tp_7_rand_c,7,47,0.68
czxyyds,posLen_tp_7_rand_c,7,20,0.99
czxyyds,posLen_tp_7_rand_c,7,843,0.58
czxyyds,posLen_tp_7_rand_c,8,183,0.54
czxyyds,posLen_tp_7_rand_c,8,171,0.48
czxyyds,posLen_tp_7_rand_c,8,47,0.64
czxyyds,posLen_tp_7_rand_c,8,20,0.95
czxyyds,posLen_tp_7_rand_c,8,843,0.54
