userName,label,test_id,Id,predict_value
qning,posLen_tp_7_rand_c,0,535,0.73
qning,posLen_tp_7_rand_c,0,239,0.45
qning,posLen_tp_7_rand_c,0,236,0.23
qning,posLen_tp_7_rand_c,0,811,0.16
qning,posLen_tp_7_rand_c,0,250,0.78
qning,posLen_tp_7_rand_c,1,609,0.18
qning,posLen_tp_7_rand_c,1,482,0.47
qning,posLen_tp_7_rand_c,1,250,0.78
qning,posLen_tp_7_rand_c,1,325,0.35
qning,posLen_tp_7_rand_c,1,143,0.18
qning,posLen_tp_7_rand_c,2,516,0.49
qning,posLen_tp_7_rand_c,2,111,0.43
qning,posLen_tp_7_rand_c,2,198,0.65
qning,posLen_tp_7_rand_c,2,329,0.89
qning,posLen_tp_7_rand_c,2,928,0.32
qning,posLen_tp_7_rand_c,3,513,0.57
qning,posLen_tp_7_rand_c,3,562,0.25
qning,posLen_tp_7_rand_c,3,979,0.87
qning,posLen_tp_7_rand_c,3,588,0.3
qning,posLen_tp_7_rand_c,3,533,0.83
qning,posLen_tp_7_rand_c,4,78,0.65
qning,posLen_tp_7_rand_c,4,600,0.95
qning,posLen_tp_7_rand_c,4,719,0.68
qning,posLen_tp_7_rand_c,4,142,0.21
qning,posLen_tp_7_rand_c,4,579,0.76
qning,posLen_tp_7_rand_c,5,156,0.37
qning,posLen_tp_7_rand_c,5,511,0.99
qning,posLen_tp_7_rand_c,5,707,0.41
qning,posLen_tp_7_rand_c,5,844,0.51
qning,posLen_tp_7_rand_c,5,310,0.56
qning,posLen_tp_7_rand_c,6,156,0.38
qning,posLen_tp_7_rand_c,6,511,1.0
qning,posLen_tp_7_rand_c,6,707,0.42
qning,posLen_tp_7_rand_c,6,844,0.52
qning,posLen_tp_7_rand_c,6,310,0.57
qning,posLen_tp_7_rand_c,7,156,0.45
qning,posLen_tp_7_rand_c,7,511,1.07
qning,posLen_tp_7_rand_c,7,707,0.49
qning,posLen_tp_7_rand_c,7,844,0.59
qning,posLen_tp_7_rand_c,7,310,0.64
qning,posLen_tp_7_rand_c,8,156,0.41
qning,posLen_tp_7_rand_c,8,511,1.03
qning,posLen_tp_7_rand_c,8,707,0.45
qning,posLen_tp_7_rand_c,8,844,0.55
qning,posLen_tp_7_rand_c,8,310,0.6
