userName,label,test_id,Id,predict_value
xueyufeng,posLen_tp_7_rand_c,0,101,0.18
xueyufeng,posLen_tp_7_rand_c,0,316,0.34
xueyufeng,posLen_tp_7_rand_c,0,773,0.34
xueyufeng,posLen_tp_7_rand_c,0,793,0.86
xueyufeng,posLen_tp_7_rand_c,0,576,0.24
xueyufeng,posLen_tp_7_rand_c,1,947,0.67
xueyufeng,posLen_tp_7_rand_c,1,680,0.25
xueyufeng,posLen_tp_7_rand_c,1,439,0.28
xueyufeng,posLen_tp_7_rand_c,1,603,0.69
xueyufeng,posLen_tp_7_rand_c,1,184,0.9
xueyufeng,posLen_tp_7_rand_c,2,279,0.71
xueyufeng,posLen_tp_7_rand_c,2,108,0.2
xueyufeng,posLen_tp_7_rand_c,2,518,0.58
xueyufeng,posLen_tp_7_rand_c,2,719,0.68
xueyufeng,posLen_tp_7_rand_c,2,446,0.6
xueyufeng,posLen_tp_7_rand_c,3,541,0.85
xueyufeng,posLen_tp_7_rand_c,3,661,0.36
xueyufeng,posLen_tp_7_rand_c,3,917,0.6
xueyufeng,posLen_tp_7_rand_c,3,388,0.55
xueyufeng,posLen_tp_7_rand_c,3,612,0.38
xueyufeng,posLen_tp_7_rand_c,4,942,0.95
xueyufeng,posLen_tp_7_rand_c,4,943,0.96
xueyufeng,posLen_tp_7_rand_c,4,590,0.98
xueyufeng,posLen_tp_7_rand_c,4,744,0.99
xueyufeng,posLen_tp_7_rand_c,4,531,0.63
xueyufeng,posLen_tp_7_rand_c,5,184,0.92
xueyufeng,posLen_tp_7_rand_c,5,755,0.32
xueyufeng,posLen_tp_7_rand_c,5,111,0.45
xueyufeng,posLen_tp_7_rand_c,5,977,0.4
xueyufeng,posLen_tp_7_rand_c,5,589,0.6
xueyufeng,posLen_tp_7_rand_c,6,184,0.93
xueyufeng,posLen_tp_7_rand_c,6,755,0.33
xueyufeng,posLen_tp_7_rand_c,6,111,0.46
xueyufeng,posLen_tp_7_rand_c,6,977,0.41
xueyufeng,posLen_tp_7_rand_c,6,589,0.61
xueyufeng,posLen_tp_7_rand_c,7,184,1.0
xueyufeng,posLen_tp_7_rand_c,7,755,0.4
xueyufeng,posLen_tp_7_rand_c,7,111,0.53
xueyufeng,posLen_tp_7_rand_c,7,977,0.48
xueyufeng,posLen_tp_7_rand_c,7,589,0.68
xueyufeng,posLen_tp_7_rand_c,8,184,0.96
xueyufeng,posLen_tp_7_rand_c,8,755,0.36
xueyufeng,posLen_tp_7_rand_c,8,111,0.49
xueyufeng,posLen_tp_7_rand_c,8,977,0.44
xueyufeng,posLen_tp_7_rand_c,8,589,0.64
