userName,label,test_id,Id,predict_value
3ml,posLen_tp_10_rand_c,0,848,0.78
3ml,posLen_tp_10_rand_c,0,789,0.61
3ml,posLen_tp_10_rand_c,0,184,0.9
3ml,posLen_tp_10_rand_c,0,58,0.15
3ml,posLen_tp_10_rand_c,0,235,0.33
3ml,posLen_tp_10_rand_c,1,902,0.21
3ml,posLen_tp_10_rand_c,1,454,0.46
3ml,posLen_tp_10_rand_c,1,422,0.3
3ml,posLen_tp_10_rand_c,1,640,0.3
3ml,posLen_tp_10_rand_c,1,529,0.31
3ml,posLen_tp_10_rand_c,2,766,0.6
3ml,posLen_tp_10_rand_c,2,750,0.83
3ml,posLen_tp_10_rand_c,2,22,0.82
3ml,posLen_tp_10_rand_c,2,852,0.53
3ml,posLen_tp_10_rand_c,2,555,0.55
3ml,posLen_tp_10_rand_c,3,190,0.44
3ml,posLen_tp_10_rand_c,3,304,0.82
3ml,posLen_tp_10_rand_c,3,397,0.38
3ml,posLen_tp_10_rand_c,3,909,0.16
3ml,posLen_tp_10_rand_c,3,959,0.28
3ml,posLen_tp_10_rand_c,4,902,0.22
3ml,posLen_tp_10_rand_c,4,454,0.47
3ml,posLen_tp_10_rand_c,4,422,0.31
3ml,posLen_tp_10_rand_c,4,640,0.31
3ml,posLen_tp_10_rand_c,4,529,0.32
3ml,posLen_tp_10_rand_c,5,190,0.51
3ml,posLen_tp_10_rand_c,5,304,0.89
3ml,posLen_tp_10_rand_c,5,397,0.45
3ml,posLen_tp_10_rand_c,5,909,0.23
3ml,posLen_tp_10_rand_c,5,959,0.35
3ml,posLen_tp_10_rand_c,6,766,0.63
3ml,posLen_tp_10_rand_c,6,750,0.86
3ml,posLen_tp_10_rand_c,6,22,0.85
3ml,posLen_tp_10_rand_c,6,852,0.56
3ml,posLen_tp_10_rand_c,6,555,0.58
