userName,label,test_id,Id,predict_value
kvh32ylp,posLen_tp_10_rand_c,0,392,0.76
kvh32ylp,posLen_tp_10_rand_c,0,638,0.56
kvh32ylp,posLen_tp_10_rand_c,0,871,0.88
kvh32ylp,posLen_tp_10_rand_c,0,200,0.91
kvh32ylp,posLen_tp_10_rand_c,0,470,0.71
kvh32ylp,posLen_tp_10_rand_c,1,328,0.93
kvh32ylp,posLen_tp_10_rand_c,1,273,0.21
kvh32ylp,posLen_tp_10_rand_c,1,378,0.3
kvh32ylp,posLen_tp_10_rand_c,1,166,0.13
kvh32ylp,posLen_tp_10_rand_c,1,899,0.71
kvh32ylp,posLen_tp_10_rand_c,2,821,0.44
kvh32ylp,posLen_tp_10_rand_c,2,596,0.04
kvh32ylp,posLen_tp_10_rand_c,2,584,0.76
kvh32ylp,posLen_tp_10_rand_c,2,669,0.48
kvh32ylp,posLen_tp_10_rand_c,2,502,0.45
kvh32ylp,posLen_tp_10_rand_c,3,412,0.45
kvh32ylp,posLen_tp_10_rand_c,3,618,0.95
kvh32ylp,posLen_tp_10_rand_c,3,194,0.43
kvh32ylp,posLen_tp_10_rand_c,3,269,0.14
kvh32ylp,posLen_tp_10_rand_c,3,385,0.58
kvh32ylp,posLen_tp_10_rand_c,4,328,0.94
kvh32ylp,posLen_tp_10_rand_c,4,273,0.22
kvh32ylp,posLen_tp_10_rand_c,4,378,0.31
kvh32ylp,posLen_tp_10_rand_c,4,166,0.14
kvh32ylp,posLen_tp_10_rand_c,4,899,0.72
kvh32ylp,posLen_tp_10_rand_c,5,412,0.52
kvh32ylp,posLen_tp_10_rand_c,5,618,1.02
kvh32ylp,posLen_tp_10_rand_c,5,194,0.5
kvh32ylp,posLen_tp_10_rand_c,5,269,0.21
kvh32ylp,posLen_tp_10_rand_c,5,385,0.65
kvh32ylp,posLen_tp_10_rand_c,6,821,0.47
kvh32ylp,posLen_tp_10_rand_c,6,596,0.07
kvh32ylp,posLen_tp_10_rand_c,6,584,0.79
kvh32ylp,posLen_tp_10_rand_c,6,669,0.51
kvh32ylp,posLen_tp_10_rand_c,6,502,0.48
