userName,label,test_id,Id,predict_value
ni7cvg,posLen_tp_10_rand_c,0,925,0.59
ni7cvg,posLen_tp_10_rand_c,0,814,0.8
ni7cvg,posLen_tp_10_rand_c,0,986,0.34
ni7cvg,posLen_tp_10_rand_c,0,315,1.06
ni7cvg,posLen_tp_10_rand_c,0,749,0.81
ni7cvg,posLen_tp_10_rand_c,1,540,0.72
ni7cvg,posLen_tp_10_rand_c,1,12,0.41
ni7cvg,posLen_tp_10_rand_c,1,433,0.7
ni7cvg,posLen_tp_10_rand_c,1,138,0.49
ni7cvg,posLen_tp_10_rand_c,1,103,0.59
ni7cvg,posLen_tp_10_rand_c,2,739,0.59
ni7cvg,posLen_tp_10_rand_c,2,987,0.74
ni7cvg,posLen_tp_10_rand_c,2,932,0.18
ni7cvg,posLen_tp_10_rand_c,2,559,0.28
ni7cvg,posLen_tp_10_rand_c,2,489,0.25
ni7cvg,posLen_tp_10_rand_c,3,612,0.6
ni7cvg,posLen_tp_10_rand_c,3,872,0.35
ni7cvg,posLen_tp_10_rand_c,3,574,0.7
ni7cvg,posLen_tp_10_rand_c,3,384,0.67
ni7cvg,posLen_tp_10_rand_c,3,128,1.02
ni7cvg,posLen_tp_10_rand_c,4,540,0.73
ni7cvg,posLen_tp_10_rand_c,4,12,0.42
ni7cvg,posLen_tp_10_rand_c,4,433,0.71
ni7cvg,posLen_tp_10_rand_c,4,138,0.5
ni7cvg,posLen_tp_10_rand_c,4,103,0.6
ni7cvg,posLen_tp_10_rand_c,5,612,0.67
ni7cvg,posLen_tp_10_rand_c,5,872,0.42
ni7cvg,posLen_tp_10_rand_c,5,574,0.77
ni7cvg,posLen_tp_10_rand_c,5,384,0.74
ni7cvg,posLen_tp_10_rand_c,5,128,1.09
ni7cvg,posLen_tp_10_rand_c,6,739,0.62
ni7cvg,posLen_tp_10_rand_c,6,987,0.77
ni7cvg,posLen_tp_10_rand_c,6,932,0.21
ni7cvg,posLen_tp_10_rand_c,6,559,0.31
ni7cvg,posLen_tp_10_rand_c,6,489,0.28
