userName,label,test_id,Id,predict_value
vo8j,posLen_tp_10_rand_c,0,109,0.33
vo8j,posLen_tp_10_rand_c,0,882,0.76
vo8j,posLen_tp_10_rand_c,0,793,0.3
vo8j,posLen_tp_10_rand_c,0,462,0.66
vo8j,posLen_tp_10_rand_c,0,196,0.17
vo8j,posLen_tp_10_rand_c,1,863,0.81
vo8j,posLen_tp_10_rand_c,1,358,0.33
vo8j,posLen_tp_10_rand_c,1,339,0.51
vo8j,posLen_tp_10_rand_c,1,773,0.9
vo8j,posLen_tp_10_rand_c,1,968,0.56
vo8j,posLen_tp_10_rand_c,2,737,0.36
vo8j,posLen_tp_10_rand_c,2,272,0.71
vo8j,posLen_tp_10_rand_c,2,388,0.57
vo8j,posLen_tp_10_rand_c,2,238,0.35
vo8j,posLen_tp_10_rand_c,2,904,0.18
vo8j,posLen_tp_10_rand_c,3,815,0.3
vo8j,posLen_tp_10_rand_c,3,787,0.97
vo8j,posLen_tp_10_rand_c,3,654,0.19
vo8j,posLen_tp_10_rand_c,3,796,0.66
vo8j,posLen_tp_10_rand_c,3,157,0.58
vo8j,posLen_tp_10_rand_c,4,863,0.82
vo8j,posLen_tp_10_rand_c,4,358,0.34
vo8j,posLen_tp_10_rand_c,4,339,0.52
vo8j,posLen_tp_10_rand_c,4,773,0.91
vo8j,posLen_tp_10_rand_c,4,968,0.57
vo8j,posLen_tp_10_rand_c,5,815,0.37
vo8j,posLen_tp_10_rand_c,5,787,1.04
vo8j,posLen_tp_10_rand_c,5,654,0.26
vo8j,posLen_tp_10_rand_c,5,796,0.73
vo8j,posLen_tp_10_rand_c,5,157,0.65
vo8j,posLen_tp_10_rand_c,6,737,0.39
vo8j,posLen_tp_10_rand_c,6,272,0.74
vo8j,posLen_tp_10_rand_c,6,388,0.6
vo8j,posLen_tp_10_rand_c,6,238,0.38
vo8j,posLen_tp_10_rand_c,6,904,0.21
