userName,label,test_id,Id,predict_value
lgqjhigub,posLen_tp_11_rand_c,0,494,0.24
lgqjhigub,posLen_tp_11_rand_c,0,295,0.42
lgqjhigub,posLen_tp_11_rand_c,0,612,0.62
lgqjhigub,posLen_tp_11_rand_c,0,948,0.13
lgqjhigub,posLen_tp_11_rand_c,0,478,0.26
lgqjhigub,posLen_tp_11_rand_c,1,376,0.93
lgqjhigub,posLen_tp_11_rand_c,1,4,0.29
lgqjhigub,posLen_tp_11_rand_c,1,923,0.62
lgqjhigub,posLen_tp_11_rand_c,1,621,0.72
lgqjhigub,posLen_tp_11_rand_c,1,786,0.91
lgqjhigub,posLen_tp_11_rand_c,2,45,0.41
lgqjhigub,posLen_tp_11_rand_c,2,792,0.95
lgqjhigub,posLen_tp_11_rand_c,2,119,0.67
lgqjhigub,posLen_tp_11_rand_c,2,777,0.41
lgqjhigub,posLen_tp_11_rand_c,2,766,0.83
