userName,label,test_id,Id,predict_value
Kitty,posLen_tp_10_rand_c,0,955,0.76
Kitty,posLen_tp_10_rand_c,0,492,0.68
Kitty,posLen_tp_10_rand_c,0,865,0.43
Kitty,posLen_tp_10_rand_c,0,544,0.9
Kitty,posLen_tp_10_rand_c,0,864,0.68
Kitty,posLen_tp_10_rand_c,1,171,0.38
Kitty,posLen_tp_10_rand_c,1,503,0.38
Kitty,posLen_tp_10_rand_c,1,739,0.77
Kitty,posLen_tp_10_rand_c,1,432,0.4
Kitty,posLen_tp_10_rand_c,1,539,0.87
Kitty,posLen_tp_10_rand_c,2,269,0.26
Kitty,posLen_tp_10_rand_c,2,829,0.12
Kitty,posLen_tp_10_rand_c,2,332,0.87
Kitty,posLen_tp_10_rand_c,2,582,0.94
Kitty,posLen_tp_10_rand_c,2,993,0.92
Kitty,posLen_tp_10_rand_c,3,577,0.83
Kitty,posLen_tp_10_rand_c,3,858,0.53
Kitty,posLen_tp_10_rand_c,3,734,1.0
Kitty,posLen_tp_10_rand_c,3,465,0.95
Kitty,posLen_tp_10_rand_c,3,282,0.44
Kitty,posLen_tp_10_rand_c,4,525,0.69
Kitty,posLen_tp_10_rand_c,4,656,0.9
Kitty,posLen_tp_10_rand_c,4,527,0.96
Kitty,posLen_tp_10_rand_c,4,676,0.83
Kitty,posLen_tp_10_rand_c,4,901,1.05
Kitty,posLen_tp_10_rand_c,5,668,0.33
Kitty,posLen_tp_10_rand_c,5,80,1.01
Kitty,posLen_tp_10_rand_c,5,488,0.66
Kitty,posLen_tp_10_rand_c,5,660,0.16
Kitty,posLen_tp_10_rand_c,5,419,0.76
Kitty,posLen_tp_10_rand_c,6,668,0.34
Kitty,posLen_tp_10_rand_c,6,80,1.02
Kitty,posLen_tp_10_rand_c,6,488,0.67
Kitty,posLen_tp_10_rand_c,6,660,0.17
Kitty,posLen_tp_10_rand_c,6,419,0.77
Kitty,posLen_tp_10_rand_c,7,668,0.41
Kitty,posLen_tp_10_rand_c,7,80,1.09
Kitty,posLen_tp_10_rand_c,7,488,0.74
Kitty,posLen_tp_10_rand_c,7,660,0.24
Kitty,posLen_tp_10_rand_c,7,419,0.84
Kitty,posLen_tp_10_rand_c,8,668,0.35
Kitty,posLen_tp_10_rand_c,8,80,1.03
Kitty,posLen_tp_10_rand_c,8,488,0.68
Kitty,posLen_tp_10_rand_c,8,660,0.18
Kitty,posLen_tp_10_rand_c,8,419,0.78
