userName,label,test_id,Id,predict_value
haoyuli,posLen_tp_10_rand_c,0,395,0.22
haoyuli,posLen_tp_10_rand_c,0,684,1
haoyuli,posLen_tp_10_rand_c,0,711,0.2
haoyuli,posLen_tp_10_rand_c,0,145,0.19
haoyuli,posLen_tp_10_rand_c,0,764,1
haoyuli,posLen_tp_10_rand_c,1,292,0.77
haoyuli,posLen_tp_10_rand_c,1,311,1
haoyuli,posLen_tp_10_rand_c,1,16,0.5
haoyuli,posLen_tp_10_rand_c,1,726,1
haoyuli,posLen_tp_10_rand_c,1,503,0.21
haoyuli,posLen_tp_10_rand_c,2,825,0.33
haoyuli,posLen_tp_10_rand_c,2,484,0.49
haoyuli,posLen_tp_10_rand_c,2,925,0.42
haoyuli,posLen_tp_10_rand_c,2,757,0.42
haoyuli,posLen_tp_10_rand_c,2,292,0.64
haoyuli,posLen_tp_10_rand_c,3,413,0.38
haoyuli,posLen_tp_10_rand_c,3,662,0.6
haoyuli,posLen_tp_10_rand_c,3,653,0.22
haoyuli,posLen_tp_10_rand_c,3,404,0.23
haoyuli,posLen_tp_10_rand_c,3,573,0.44
haoyuli,posLen_tp_10_rand_c,4,164,0.63
haoyuli,posLen_tp_10_rand_c,4,446,0.75
haoyuli,posLen_tp_10_rand_c,4,119,0.28
haoyuli,posLen_tp_10_rand_c,4,92,0.38
haoyuli,posLen_tp_10_rand_c,4,668,0.24
haoyuli,posLen_tp_10_rand_c,5,785,0.53
haoyuli,posLen_tp_10_rand_c,5,69,0.39
haoyuli,posLen_tp_10_rand_c,5,257,0.5
haoyuli,posLen_tp_10_rand_c,5,366,0.34
haoyuli,posLen_tp_10_rand_c,5,762,0.42
haoyuli,posLen_tp_10_rand_c,6,785,0.54
haoyuli,posLen_tp_10_rand_c,6,69,0.4
haoyuli,posLen_tp_10_rand_c,6,257,0.51
haoyuli,posLen_tp_10_rand_c,6,366,0.35
haoyuli,posLen_tp_10_rand_c,6,762,0.43
haoyuli,posLen_tp_10_rand_c,7,785,0.61
haoyuli,posLen_tp_10_rand_c,7,69,0.47
haoyuli,posLen_tp_10_rand_c,7,257,0.58
haoyuli,posLen_tp_10_rand_c,7,366,0.42
haoyuli,posLen_tp_10_rand_c,7,762,0.5
haoyuli,posLen_tp_10_rand_c,8,785,0.55
haoyuli,posLen_tp_10_rand_c,8,69,0.41
haoyuli,posLen_tp_10_rand_c,8,257,0.52
haoyuli,posLen_tp_10_rand_c,8,366,0.36
haoyuli,posLen_tp_10_rand_c,8,762,0.44
