userName,label,test_id,Id,predict_value
xiaoqi,posLen_tp_10_rand_c,0,790,0.44
xiaoqi,posLen_tp_10_rand_c,0,291,1
xiaoqi,posLen_tp_10_rand_c,0,780,0.34
xiaoqi,posLen_tp_10_rand_c,0,295,0.62
xiaoqi,posLen_tp_10_rand_c,0,882,0.58
xiaoqi,posLen_tp_10_rand_c,1,613,0.48
xiaoqi,posLen_tp_10_rand_c,1,151,0.33
xiaoqi,posLen_tp_10_rand_c,1,368,0.25
xiaoqi,posLen_tp_10_rand_c,1,492,0.5
xiaoqi,posLen_tp_10_rand_c,1,212,0.62
xiaoqi,posLen_tp_10_rand_c,2,328,0.92
xiaoqi,posLen_tp_10_rand_c,2,192,0.52
xiaoqi,posLen_tp_10_rand_c,2,243,0.1
xiaoqi,posLen_tp_10_rand_c,2,411,0.37
xiaoqi,posLen_tp_10_rand_c,2,403,0.66
xiaoqi,posLen_tp_10_rand_c,3,876,0.6
xiaoqi,posLen_tp_10_rand_c,3,46,0.95
xiaoqi,posLen_tp_10_rand_c,3,408,0.24
xiaoqi,posLen_tp_10_rand_c,3,728,0.52
xiaoqi,posLen_tp_10_rand_c,3,808,0.95
xiaoqi,posLen_tp_10_rand_c,4,468,0.8
xiaoqi,posLen_tp_10_rand_c,4,268,0.47
xiaoqi,posLen_tp_10_rand_c,4,983,0.35
xiaoqi,posLen_tp_10_rand_c,4,185,0.48
xiaoqi,posLen_tp_10_rand_c,4,843,1
xiaoqi,posLen_tp_10_rand_c,5,490,0.24
xiaoqi,posLen_tp_10_rand_c,5,458,0.51
xiaoqi,posLen_tp_10_rand_c,5,922,0.26
xiaoqi,posLen_tp_10_rand_c,5,647,0.5
xiaoqi,posLen_tp_10_rand_c,5,112,0.89
xiaoqi,posLen_tp_10_rand_c,6,490,0.25
xiaoqi,posLen_tp_10_rand_c,6,458,0.52
xiaoqi,posLen_tp_10_rand_c,6,922,0.27
xiaoqi,posLen_tp_10_rand_c,6,647,0.51
xiaoqi,posLen_tp_10_rand_c,6,112,0.9
xiaoqi,posLen_tp_10_rand_c,7,490,0.32
xiaoqi,posLen_tp_10_rand_c,7,458,0.59
xiaoqi,posLen_tp_10_rand_c,7,922,0.34
xiaoqi,posLen_tp_10_rand_c,7,647,0.58
xiaoqi,posLen_tp_10_rand_c,7,112,0.97
xiaoqi,posLen_tp_10_rand_c,8,490,0.26
xiaoqi,posLen_tp_10_rand_c,8,458,0.53
xiaoqi,posLen_tp_10_rand_c,8,922,0.28
xiaoqi,posLen_tp_10_rand_c,8,647,0.52
xiaoqi,posLen_tp_10_rand_c,8,112,0.91
