userName,label,test_id,Id,predict_value
yizhu,posLen_tp_10_rand_c,0,926,0.35
yizhu,posLen_tp_10_rand_c,0,414,0.18
yizhu,posLen_tp_10_rand_c,0,855,0.49
yizhu,posLen_tp_10_rand_c,0,27,0.95
yizhu,posLen_tp_10_rand_c,0,398,0.98
yizhu,posLen_tp_10_rand_c,1,107,0.36
yizhu,posLen_tp_10_rand_c,1,844,0.9
yizhu,posLen_tp_10_rand_c,1,150,0.51
yizhu,posLen_tp_10_rand_c,1,627,0.81
yizhu,posLen_tp_10_rand_c,1,552,0.75
yizhu,posLen_tp_10_rand_c,2,671,0.92
yizhu,posLen_tp_10_rand_c,2,168,0.23
yizhu,posLen_tp_10_rand_c,2,201,0.26
yizhu,posLen_tp_10_rand_c,2,730,0.12
yizhu,posLen_tp_10_rand_c,2,655,0.16
yizhu,posLen_tp_10_rand_c,3,123,0.65
yizhu,posLen_tp_10_rand_c,3,68,0.88
yizhu,posLen_tp_10_rand_c,3,336,0.84
yizhu,posLen_tp_10_rand_c,3,444,0.46
yizhu,posLen_tp_10_rand_c,3,789,0.48
yizhu,posLen_tp_10_rand_c,4,63,0.34
yizhu,posLen_tp_10_rand_c,4,887,0.7
yizhu,posLen_tp_10_rand_c,4,230,0.86
yizhu,posLen_tp_10_rand_c,4,176,0.72
yizhu,posLen_tp_10_rand_c,4,638,0.51
yizhu,posLen_tp_10_rand_c,5,944,0.32
yizhu,posLen_tp_10_rand_c,5,27,0.72
yizhu,posLen_tp_10_rand_c,5,278,0.23
yizhu,posLen_tp_10_rand_c,5,510,0.98
yizhu,posLen_tp_10_rand_c,5,659,1
yizhu,posLen_tp_10_rand_c,6,944,0.33
yizhu,posLen_tp_10_rand_c,6,27,0.73
yizhu,posLen_tp_10_rand_c,6,278,0.24
yizhu,posLen_tp_10_rand_c,6,510,0.99
yizhu,posLen_tp_10_rand_c,6,659,1.01
yizhu,posLen_tp_10_rand_c,7,944,0.4
yizhu,posLen_tp_10_rand_c,7,27,0.8
yizhu,posLen_tp_10_rand_c,7,278,0.31
yizhu,posLen_tp_10_rand_c,7,510,1.06
yizhu,posLen_tp_10_rand_c,7,659,1.08
yizhu,posLen_tp_10_rand_c,8,944,0.34
yizhu,posLen_tp_10_rand_c,8,27,0.74
yizhu,posLen_tp_10_rand_c,8,278,0.25
yizhu,posLen_tp_10_rand_c,8,510,1.0
yizhu,posLen_tp_10_rand_c,8,659,1.02
