userName,label,test_id,Id,predict_value
Alma,posLen_tp_11_rand_c,0,90,0.7
Alma,posLen_tp_11_rand_c,0,606,0.64
Alma,posLen_tp_11_rand_c,0,289,0.7
Alma,posLen_tp_11_rand_c,0,702,0.85
Alma,posLen_tp_11_rand_c,0,17,1
Alma,posLen_tp_11_rand_c,1,824,0.98
Alma,posLen_tp_11_rand_c,1,10,0.51
Alma,posLen_tp_11_rand_c,1,703,0.64
Alma,posLen_tp_11_rand_c,1,55,0.28
Alma,posLen_tp_11_rand_c,1,690,0.9
Alma,posLen_tp_11_rand_c,2,47,0.6
Alma,posLen_tp_11_rand_c,2,899,0.76
Alma,posLen_tp_11_rand_c,2,98,0.5
Alma,posLen_tp_11_rand_c,2,533,0.68
Alma,posLen_tp_11_rand_c,2,132,0.28
Alma,posLen_tp_11_rand_c,3,973,0.71
Alma,posLen_tp_11_rand_c,3,140,1
Alma,posLen_tp_11_rand_c,3,737,0.6
Alma,posLen_tp_11_rand_c,3,228,0.75
Alma,posLen_tp_11_rand_c,3,20,0.64
Alma,posLen_tp_11_rand_c,4,947,0.27
Alma,posLen_tp_11_rand_c,4,55,0.25
Alma,posLen_tp_11_rand_c,4,905,0.9
Alma,posLen_tp_11_rand_c,4,658,0.62
Alma,posLen_tp_11_rand_c,4,258,0.41
Alma,posLen_tp_11_rand_c,5,788,0.41
Alma,posLen_tp_11_rand_c,5,860,0.5
Alma,posLen_tp_11_rand_c,5,785,0.33
Alma,posLen_tp_11_rand_c,5,64,0.65
Alma,posLen_tp_11_rand_c,5,221,0.55
Alma,posLen_tp_11_rand_c,6,788,0.42
Alma,posLen_tp_11_rand_c,6,860,0.51
Alma,posLen_tp_11_rand_c,6,785,0.34
Alma,posLen_tp_11_rand_c,6,64,0.66
Alma,posLen_tp_11_rand_c,6,221,0.56
Alma,posLen_tp_11_rand_c,7,788,0.5
Alma,posLen_tp_11_rand_c,7,860,0.59
Alma,posLen_tp_11_rand_c,7,785,0.42
Alma,posLen_tp_11_rand_c,7,64,0.74
Alma,posLen_tp_11_rand_c,7,221,0.64
Alma,posLen_tp_11_rand_c,8,788,0.43
Alma,posLen_tp_11_rand_c,8,860,0.52
Alma,posLen_tp_11_rand_c,8,785,0.35
Alma,posLen_tp_11_rand_c,8,64,0.67
Alma,posLen_tp_11_rand_c,8,221,0.57
