userName,label,test_id,Id,predict_value
Justin,posLen_tp_11_rand_c,0,254,0.95
Justin,posLen_tp_11_rand_c,0,969,0.48
Justin,posLen_tp_11_rand_c,0,972,0.26
Justin,posLen_tp_11_rand_c,0,163,0.99
Justin,posLen_tp_11_rand_c,0,945,0.44
Justin,posLen_tp_11_rand_c,1,69,0.86
Justin,posLen_tp_11_rand_c,1,327,0.51
Justin,posLen_tp_11_rand_c,1,439,0.66
Justin,posLen_tp_11_rand_c,1,31,0.4
Justin,posLen_tp_11_rand_c,1,633,1.02
Justin,posLen_tp_11_rand_c,2,371,0.33
Justin,posLen_tp_11_rand_c,2,120,0.92
Justin,posLen_tp_11_rand_c,2,118,0.94
Justin,posLen_tp_11_rand_c,2,426,0.94
Justin,posLen_tp_11_rand_c,2,90,0.8
Justin,posLen_tp_11_rand_c,3,195,0.73
Justin,posLen_tp_11_rand_c,3,754,0.6
Justin,posLen_tp_11_rand_c,3,958,0.81
Justin,posLen_tp_11_rand_c,3,862,0.64
Justin,posLen_tp_11_rand_c,3,530,0.34
Justin,posLen_tp_11_rand_c,4,961,0.73
Justin,posLen_tp_11_rand_c,4,318,0.72
Justin,posLen_tp_11_rand_c,4,724,0.71
Justin,posLen_tp_11_rand_c,4,927,0.54
Justin,posLen_tp_11_rand_c,4,205,0.83
Justin,posLen_tp_11_rand_c,5,938,0.92
Justin,posLen_tp_11_rand_c,5,424,0.18
Justin,posLen_tp_11_rand_c,5,430,0.41
Justin,posLen_tp_11_rand_c,5,257,0.77
Justin,posLen_tp_11_rand_c,5,464,0.91
Justin,posLen_tp_11_rand_c,6,938,0.93
Justin,posLen_tp_11_rand_c,6,424,0.19
Justin,posLen_tp_11_rand_c,6,430,0.42
Justin,posLen_tp_11_rand_c,6,257,0.78
Justin,posLen_tp_11_rand_c,6,464,0.92
Justin,posLen_tp_11_rand_c,7,938,1.01
Justin,posLen_tp_11_rand_c,7,424,0.27
Justin,posLen_tp_11_rand_c,7,430,0.5
Justin,posLen_tp_11_rand_c,7,257,0.86
Justin,posLen_tp_11_rand_c,7,464,1.0
Justin,posLen_tp_11_rand_c,8,938,0.94
Justin,posLen_tp_11_rand_c,8,424,0.2
Justin,posLen_tp_11_rand_c,8,430,0.43
Justin,posLen_tp_11_rand_c,8,257,0.79
Justin,posLen_tp_11_rand_c,8,464,0.93
