userName,label,test_id,Id,predict_value
Ryan,posLen_tp_12_rand_c,0,47,0.73
Ryan,posLen_tp_12_rand_c,0,438,0.51
Ryan,posLen_tp_12_rand_c,0,934,0.27
Ryan,posLen_tp_12_rand_c,0,387,0.22
Ryan,posLen_tp_12_rand_c,0,253,0.31
Ryan,posLen_tp_12_rand_c,1,528,0.58
Ryan,posLen_tp_12_rand_c,1,481,0.82
Ryan,posLen_tp_12_rand_c,1,723,0.43
Ryan,posLen_tp_12_rand_c,1,128,0.75
Ryan,posLen_tp_12_rand_c,1,655,0.68
Ryan,posLen_tp_12_rand_c,2,103,0.52
Ryan,posLen_tp_12_rand_c,2,79,0.98
Ryan,posLen_tp_12_rand_c,2,803,0.73
Ryan,posLen_tp_12_rand_c,2,108,0.48
Ryan,posLen_tp_12_rand_c,2,282,0.94
Ryan,posLen_tp_12_rand_c,3,961,0.8
Ryan,posLen_tp_12_rand_c,3,388,0.6
Ryan,posLen_tp_12_rand_c,3,121,0.46
Ryan,posLen_tp_12_rand_c,3,957,0.76
Ryan,posLen_tp_12_rand_c,3,877,0.67
Ryan,posLen_tp_12_rand_c,4,792,1.05
Ryan,posLen_tp_12_rand_c,4,354,0.78
Ryan,posLen_tp_12_rand_c,4,442,0.84
Ryan,posLen_tp_12_rand_c,4,611,0.46
Ryan,posLen_tp_12_rand_c,4,989,0.69
Ryan,posLen_tp_12_rand_c,5,971,0.51
Ryan,posLen_tp_12_rand_c,5,909,0.59
Ryan,posLen_tp_12_rand_c,5,335,0.31
Ryan,posLen_tp_12_rand_c,5,165,0.72
Ryan,posLen_tp_12_rand_c,5,913,0.56
Ryan,posLen_tp_12_rand_c,6,971,0.52
Ryan,posLen_tp_12_rand_c,6,909,0.6
Ryan,posLen_tp_12_rand_c,6,335,0.32
Ryan,posLen_tp_12_rand_c,6,165,0.73
Ryan,posLen_tp_12_rand_c,6,913,0.57
Ryan,posLen_tp_12_rand_c,7,971,0.57
Ryan,posLen_tp_12_rand_c,7,909,0.65
Ryan,posLen_tp_12_rand_c,7,335,0.37
Ryan,posLen_tp_12_rand_c,7,165,0.78
Ryan,posLen_tp_12_rand_c,7,913,0.62
Ryan,posLen_tp_12_rand_c,8,971,0.53
Ryan,posLen_tp_12_rand_c,8,909,0.61
Ryan,posLen_tp_12_rand_c,8,335,0.33
Ryan,posLen_tp_12_rand_c,8,165,0.74
Ryan,posLen_tp_12_rand_c,8,913,0.58
