userName,label,test_id,Id,predict_value
Wanda,posLen_tp_12_rand_c,0,47,0.74
Wanda,posLen_tp_12_rand_c,0,438,0.51
Wanda,posLen_tp_12_rand_c,0,934,0.26
Wanda,posLen_tp_12_rand_c,0,387,0.22
Wanda,posLen_tp_12_rand_c,0,253,0.3
Wanda,posLen_tp_12_rand_c,1,528,0.57
Wanda,posLen_tp_12_rand_c,1,481,0.81
Wanda,posLen_tp_12_rand_c,1,723,0.43
Wanda,posLen_tp_12_rand_c,1,128,0.75
Wanda,posLen_tp_12_rand_c,1,655,0.68
Wanda,posLen_tp_12_rand_c,2,103,0.51
Wanda,posLen_tp_12_rand_c,2,79,0.97
Wanda,posLen_tp_12_rand_c,2,803,0.72
Wanda,posLen_tp_12_rand_c,2,108,0.47
Wanda,posLen_tp_12_rand_c,2,282,0.94
Wanda,posLen_tp_12_rand_c,3,961,0.79
Wanda,posLen_tp_12_rand_c,3,388,0.6
Wanda,posLen_tp_12_rand_c,3,121,0.45
Wanda,posLen_tp_12_rand_c,3,957,0.76
Wanda,posLen_tp_12_rand_c,3,877,0.67
Wanda,posLen_tp_12_rand_c,4,792,1.04
Wanda,posLen_tp_12_rand_c,4,354,0.78
Wanda,posLen_tp_12_rand_c,4,442,0.83
Wanda,posLen_tp_12_rand_c,4,611,0.46
Wanda,posLen_tp_12_rand_c,4,989,0.68
Wanda,posLen_tp_12_rand_c,5,971,0.51
Wanda,posLen_tp_12_rand_c,5,909,0.59
Wanda,posLen_tp_12_rand_c,5,335,0.3
Wanda,posLen_tp_12_rand_c,5,165,0.71
Wanda,posLen_tp_12_rand_c,5,913,0.56
Wanda,posLen_tp_12_rand_c,6,971,0.52
Wanda,posLen_tp_12_rand_c,6,909,0.6
Wanda,posLen_tp_12_rand_c,6,335,0.31
Wanda,posLen_tp_12_rand_c,6,165,0.72
Wanda,posLen_tp_12_rand_c,6,913,0.57
Wanda,posLen_tp_12_rand_c,7,971,0.57
Wanda,posLen_tp_12_rand_c,7,909,0.65
Wanda,posLen_tp_12_rand_c,7,335,0.36
Wanda,posLen_tp_12_rand_c,7,165,0.77
Wanda,posLen_tp_12_rand_c,7,913,0.62
Wanda,posLen_tp_12_rand_c,8,971,0.53
Wanda,posLen_tp_12_rand_c,8,909,0.61
Wanda,posLen_tp_12_rand_c,8,335,0.32
Wanda,posLen_tp_12_rand_c,8,165,0.73
Wanda,posLen_tp_12_rand_c,8,913,0.58
