userName,label,test_id,Id,predict_value
wenruizheng,posLen_tp_12_rand_c,0,249,0.57
wenruizheng,posLen_tp_12_rand_c,0,801,0.62
wenruizheng,posLen_tp_12_rand_c,0,296,0.26
wenruizheng,posLen_tp_12_rand_c,0,430,0.22
wenruizheng,posLen_tp_12_rand_c,0,237,0.34
wenruizheng,posLen_tp_12_rand_c,1,417,0.59
wenruizheng,posLen_tp_12_rand_c,1,432,0.43
wenruizheng,posLen_tp_12_rand_c,1,676,0.5
wenruizheng,posLen_tp_12_rand_c,1,539,0.38
wenruizheng,posLen_tp_12_rand_c,1,834,0.75
wenruizheng,posLen_tp_12_rand_c,2,193,0.28
wenruizheng,posLen_tp_12_rand_c,2,615,0.82
wenruizheng,posLen_tp_12_rand_c,2,462,0.64
wenruizheng,posLen_tp_12_rand_c,2,184,0.4
wenruizheng,posLen_tp_12_rand_c,2,311,0.84
wenruizheng,posLen_tp_12_rand_c,3,939,0.7
wenruizheng,posLen_tp_12_rand_c,3,7,0.72
wenruizheng,posLen_tp_12_rand_c,3,926,0.46
wenruizheng,posLen_tp_12_rand_c,3,938,0.78
wenruizheng,posLen_tp_12_rand_c,3,597,0.15
wenruizheng,posLen_tp_12_rand_c,4,131,0.75
wenruizheng,posLen_tp_12_rand_c,4,188,0.92
wenruizheng,posLen_tp_12_rand_c,4,30,0.65
wenruizheng,posLen_tp_12_rand_c,4,643,0.18
wenruizheng,posLen_tp_12_rand_c,4,787,0.45
wenruizheng,posLen_tp_12_rand_c,5,314,0.48
wenruizheng,posLen_tp_12_rand_c,5,128,0.6
wenruizheng,posLen_tp_12_rand_c,5,67,0.94
wenruizheng,posLen_tp_12_rand_c,5,83,0.25
wenruizheng,posLen_tp_12_rand_c,5,95,0.65
wenruizheng,posLen_tp_12_rand_c,6,314,0.49
wenruizheng,posLen_tp_12_rand_c,6,128,0.61
wenruizheng,posLen_tp_12_rand_c,6,67,0.95
wenruizheng,posLen_tp_12_rand_c,6,83,0.26
wenruizheng,posLen_tp_12_rand_c,6,95,0.66
wenruizheng,posLen_tp_12_rand_c,7,314,0.54
wenruizheng,posLen_tp_12_rand_c,7,128,0.66
wenruizheng,posLen_tp_12_rand_c,7,67,1.0
wenruizheng,posLen_tp_12_rand_c,7,83,0.31
wenruizheng,posLen_tp_12_rand_c,7,95,0.71
wenruizheng,posLen_tp_12_rand_c,8,314,0.5
wenruizheng,posLen_tp_12_rand_c,8,128,0.62
wenruizheng,posLen_tp_12_rand_c,8,67,0.96
wenruizheng,posLen_tp_12_rand_c,8,83,0.27
wenruizheng,posLen_tp_12_rand_c,8,95,0.67
