userName,label,test_id,Id,predict_value
yuxuanchen,posLen_tp_12_rand_c,0,727,0.5
yuxuanchen,posLen_tp_12_rand_c,0,187,1
yuxuanchen,posLen_tp_12_rand_c,0,109,0.59
yuxuanchen,posLen_tp_12_rand_c,0,683,0.66
yuxuanchen,posLen_tp_12_rand_c,0,872,0.68
yuxuanchen,posLen_tp_12_rand_c,1,790,0.35
yuxuanchen,posLen_tp_12_rand_c,1,370,0.26
yuxuanchen,posLen_tp_12_rand_c,1,341,0.39
yuxuanchen,posLen_tp_12_rand_c,1,717,0.96
yuxuanchen,posLen_tp_12_rand_c,1,675,0.46
yuxuanchen,posLen_tp_12_rand_c,2,126,0.25
yuxuanchen,posLen_tp_12_rand_c,2,83,0.26
yuxuanchen,posLen_tp_12_rand_c,2,633,0.08
yuxuanchen,posLen_tp_12_rand_c,2,708,0.2
yuxuanchen,posLen_tp_12_rand_c,2,205,1
yuxuanchen,posLen_tp_12_rand_c,3,971,0.48
yuxuanchen,posLen_tp_12_rand_c,3,445,0.5
yuxuanchen,posLen_tp_12_rand_c,3,420,0.5
yuxuanchen,posLen_tp_12_rand_c,3,235,0.17
yuxuanchen,posLen_tp_12_rand_c,3,782,0.48
yuxuanchen,posLen_tp_12_rand_c,4,434,0.2
yuxuanchen,posLen_tp_12_rand_c,4,518,0.94
yuxuanchen,posLen_tp_12_rand_c,4,455,0.98
yuxuanchen,posLen_tp_12_rand_c,4,949,0.69
yuxuanchen,posLen_tp_12_rand_c,4,288,1
yuxuanchen,posLen_tp_12_rand_c,5,28,1
yuxuanchen,posLen_tp_12_rand_c,5,826,0.2
yuxuanchen,posLen_tp_12_rand_c,5,307,0.89
yuxuanchen,posLen_tp_12_rand_c,5,521,1
yuxuanchen,posLen_tp_12_rand_c,5,877,0.53
yuxuanchen,posLen_tp_12_rand_c,6,28,1.01
yuxuanchen,posLen_tp_12_rand_c,6,826,0.21
yuxuanchen,posLen_tp_12_rand_c,6,307,0.9
yuxuanchen,posLen_tp_12_rand_c,6,521,1.01
yuxuanchen,posLen_tp_12_rand_c,6,877,0.54
yuxuanchen,posLen_tp_12_rand_c,7,28,1.06
yuxuanchen,posLen_tp_12_rand_c,7,826,0.26
yuxuanchen,posLen_tp_12_rand_c,7,307,0.95
yuxuanchen,posLen_tp_12_rand_c,7,521,1.06
yuxuanchen,posLen_tp_12_rand_c,7,877,0.59
yuxuanchen,posLen_tp_12_rand_c,8,28,1.02
yuxuanchen,posLen_tp_12_rand_c,8,826,0.22
yuxuanchen,posLen_tp_12_rand_c,8,307,0.91
yuxuanchen,posLen_tp_12_rand_c,8,521,1.02
yuxuanchen,posLen_tp_12_rand_c,8,877,0.55
