userName,label,test_id,Id,predict_value
huixu,posLen_tp_1_rand_c,0,126,0.49
huixu,posLen_tp_1_rand_c,0,24,0.86
huixu,posLen_tp_1_rand_c,0,912,0.78
huixu,posLen_tp_1_rand_c,0,285,0.68
huixu,posLen_tp_1_rand_c,0,739,0.64
huixu,posLen_tp_1_rand_c,1,305,0.56
huixu,posLen_tp_1_rand_c,1,162,0.78
huixu,posLen_tp_1_rand_c,1,681,0.67
huixu,posLen_tp_1_rand_c,1,230,0.21
huixu,posLen_tp_1_rand_c,1,550,0.51
huixu,posLen_tp_1_rand_c,2,762,0.29
huixu,posLen_tp_1_rand_c,2,531,0.93
huixu,posLen_tp_1_rand_c,2,121,0.50
huixu,posLen_tp_1_rand_c,2,748,0.49
huixu,posLen_tp_1_rand_c,2,213,0.89
huixu,posLen_tp_1_rand_c,3,691,0.77
huixu,posLen_tp_1_rand_c,3,401,0.53
huixu,posLen_tp_1_rand_c,3,436,0.78
huixu,posLen_tp_1_rand_c,3,174,0.78
huixu,posLen_tp_1_rand_c,3,923,0.78
huixu,posLen_tp_1_rand_c,4,38,.081
huixu,posLen_tp_1_rand_c,4,188,0.37
huixu,posLen_tp_1_rand_c,4,390,0.93
huixu,posLen_tp_1_rand_c,4,13,0.2
huixu,posLen_tp_1_rand_c,4,425,0.7
huixu,posLen_tp_1_rand_c,5,660,0.78
huixu,posLen_tp_1_rand_c,5,268,0.38
huixu,posLen_tp_1_rand_c,5,215,0.32
huixu,posLen_tp_1_rand_c,5,582,0.87
huixu,posLen_tp_1_rand_c,5,933,0.92
huixu,posLen_tp_1_rand_c,6,660,0.79
huixu,posLen_tp_1_rand_c,6,268,0.39
huixu,posLen_tp_1_rand_c,6,215,0.33
huixu,posLen_tp_1_rand_c,6,582,0.88
huixu,posLen_tp_1_rand_c,6,933,0.93
huixu,posLen_tp_1_rand_c,7,660,0.86
huixu,posLen_tp_1_rand_c,7,268,0.46
huixu,posLen_tp_1_rand_c,7,215,0.4
huixu,posLen_tp_1_rand_c,7,582,0.95
huixu,posLen_tp_1_rand_c,7,933,1.0
huixu,posLen_tp_1_rand_c,8,660,0.82
huixu,posLen_tp_1_rand_c,8,268,0.42
huixu,posLen_tp_1_rand_c,8,215,0.36
huixu,posLen_tp_1_rand_c,8,582,0.91
huixu,posLen_tp_1_rand_c,8,933,0.96
