userName,label,test_id,Id,predict_value
yangguangze,posLen_tp_1_rand_c,0,584,0.22
yangguangze,posLen_tp_1_rand_c,0,496,0.9
yangguangze,posLen_tp_1_rand_c,0,400,0.71
yangguangze,posLen_tp_1_rand_c,0,139,0.33
yangguangze,posLen_tp_1_rand_c,0,316,0.39
yangguangze,posLen_tp_1_rand_c,1,332,0.57
yangguangze,posLen_tp_1_rand_c,1,482,0.69
yangguangze,posLen_tp_1_rand_c,1,783,0.82
yangguangze,posLen_tp_1_rand_c,1,449,0.71
yangguangze,posLen_tp_1_rand_c,1,682,0.85
yangguangze,posLen_tp_1_rand_c,2,971,0.56
yangguangze,posLen_tp_1_rand_c,2,793,0.32
yangguangze,posLen_tp_1_rand_c,2,169,0.25
yangguangze,posLen_tp_1_rand_c,2,48,0.33
yangguangze,posLen_tp_1_rand_c,2,531,0.95
yangguangze,posLen_tp_1_rand_c,3,265,0.7
yangguangze,posLen_tp_1_rand_c,3,452,0.4
yangguangze,posLen_tp_1_rand_c,3,335,0.33
yangguangze,posLen_tp_1_rand_c,3,44,0.5
yangguangze,posLen_tp_1_rand_c,3,712,0.4
yangguangze,posLen_tp_1_rand_c,4,146,0.9
yangguangze,posLen_tp_1_rand_c,4,101,0.98
yangguangze,posLen_tp_1_rand_c,4,229,0.98
yangguangze,posLen_tp_1_rand_c,4,38,0.81
yangguangze,posLen_tp_1_rand_c,4,266,0.81
yangguangze,posLen_tp_1_rand_c,5,432,0.96
yangguangze,posLen_tp_1_rand_c,5,732,0.47
yangguangze,posLen_tp_1_rand_c,5,721,0.48
yangguangze,posLen_tp_1_rand_c,5,63,0.68
yangguangze,posLen_tp_1_rand_c,5,214,0.62
yangguangze,posLen_tp_1_rand_c,6,432,0.97
yangguangze,posLen_tp_1_rand_c,6,732,0.48
yangguangze,posLen_tp_1_rand_c,6,721,0.49
yangguangze,posLen_tp_1_rand_c,6,63,0.69
yangguangze,posLen_tp_1_rand_c,6,214,0.63
yangguangze,posLen_tp_1_rand_c,7,432,1.04
yangguangze,posLen_tp_1_rand_c,7,732,0.55
yangguangze,posLen_tp_1_rand_c,7,721,0.56
yangguangze,posLen_tp_1_rand_c,7,63,0.76
yangguangze,posLen_tp_1_rand_c,7,214,0.7
yangguangze,posLen_tp_1_rand_c,8,432,1.0
yangguangze,posLen_tp_1_rand_c,8,732,0.51
yangguangze,posLen_tp_1_rand_c,8,721,0.52
yangguangze,posLen_tp_1_rand_c,8,63,0.72
yangguangze,posLen_tp_1_rand_c,8,214,0.66
