userName,label,test_id,Id,predict_value
Wenze cui,posLen_tp_7_rand_c,0,670,1
Wenze cui,posLen_tp_7_rand_c,0,976,0.61
Wenze cui,posLen_tp_7_rand_c,0,71,0.55
Wenze cui,posLen_tp_7_rand_c,0,516,0.5
Wenze cui,posLen_tp_7_rand_c,0,105,0.75
Wenze cui,posLen_tp_7_rand_c,1,875,0.93
Wenze cui,posLen_tp_7_rand_c,1,567,0.85
Wenze cui,posLen_tp_7_rand_c,1,930,0.65
Wenze cui,posLen_tp_7_rand_c,1,720,0.55
Wenze cui,posLen_tp_7_rand_c,1,971,0.9
Wenze cui,posLen_tp_7_rand_c,2,65,0.3
Wenze cui,posLen_tp_7_rand_c,2,85,0.15
Wenze cui,posLen_tp_7_rand_c,2,359,0.16
Wenze cui,posLen_tp_7_rand_c,2,988,0.6
Wenze cui,posLen_tp_7_rand_c,2,182,0.95
Wenze cui,posLen_tp_7_rand_c,3,896,0.6
Wenze cui,posLen_tp_7_rand_c,3,811,0.17
Wenze cui,posLen_tp_7_rand_c,3,801,0.61
Wenze cui,posLen_tp_7_rand_c,3,51,0.14
Wenze cui,posLen_tp_7_rand_c,3,843,0.55
Wenze cui,posLen_tp_7_rand_c,4,325,0.4
Wenze cui,posLen_tp_7_rand_c,4,689,0.75
Wenze cui,posLen_tp_7_rand_c,4,639,0.95
Wenze cui,posLen_tp_7_rand_c,4,36,0.6
Wenze cui,posLen_tp_7_rand_c,4,530,0.5
Wenze cui,posLen_tp_7_rand_c,5,723,0.16
Wenze cui,posLen_tp_7_rand_c,5,512,0.85
Wenze cui,posLen_tp_7_rand_c,5,63,0.6
Wenze cui,posLen_tp_7_rand_c,5,374,0.9
Wenze cui,posLen_tp_7_rand_c,5,566,0.4
Wenze cui,posLen_tp_7_rand_c,6,723,0.17
Wenze cui,posLen_tp_7_rand_c,6,512,0.86
Wenze cui,posLen_tp_7_rand_c,6,63,0.61
Wenze cui,posLen_tp_7_rand_c,6,374,0.91
Wenze cui,posLen_tp_7_rand_c,6,566,0.41
Wenze cui,posLen_tp_7_rand_c,7,723,0.24
Wenze cui,posLen_tp_7_rand_c,7,512,0.93
Wenze cui,posLen_tp_7_rand_c,7,63,0.68
Wenze cui,posLen_tp_7_rand_c,7,374,0.98
Wenze cui,posLen_tp_7_rand_c,7,566,0.48
Wenze cui,posLen_tp_7_rand_c,8,723,0.2
Wenze cui,posLen_tp_7_rand_c,8,512,0.89
Wenze cui,posLen_tp_7_rand_c,8,63,0.64
Wenze cui,posLen_tp_7_rand_c,8,374,0.94
Wenze cui,posLen_tp_7_rand_c,8,566,0.44
