userName,label,test_id,Id,predict_value
7oho,posLen_tp_10_rand_c,0,450,0.47
7oho,posLen_tp_10_rand_c,0,158,0.88
7oho,posLen_tp_10_rand_c,0,83,0.39
7oho,posLen_tp_10_rand_c,0,265,0.39
7oho,posLen_tp_10_rand_c,0,225,0.39
7oho,posLen_tp_10_rand_c,1,64,0.82
7oho,posLen_tp_10_rand_c,1,360,0.13
7oho,posLen_tp_10_rand_c,1,338,0.89
7oho,posLen_tp_10_rand_c,1,70,0.63
7oho,posLen_tp_10_rand_c,1,957,0.26
7oho,posLen_tp_10_rand_c,2,829,0.14
7oho,posLen_tp_10_rand_c,2,867,0.55
7oho,posLen_tp_10_rand_c,2,826,0.74
7oho,posLen_tp_10_rand_c,2,491,0.8
7oho,posLen_tp_10_rand_c,2,804,0.93
7oho,posLen_tp_10_rand_c,3,390,0.83
7oho,posLen_tp_10_rand_c,3,391,0.82
7oho,posLen_tp_10_rand_c,3,357,1.0
7oho,posLen_tp_10_rand_c,3,121,0.44
7oho,posLen_tp_10_rand_c,3,779,0.78
7oho,posLen_tp_10_rand_c,4,64,0.83
7oho,posLen_tp_10_rand_c,4,360,0.14
7oho,posLen_tp_10_rand_c,4,338,0.9
7oho,posLen_tp_10_rand_c,4,70,0.64
7oho,posLen_tp_10_rand_c,4,957,0.27
7oho,posLen_tp_10_rand_c,5,390,0.9
7oho,posLen_tp_10_rand_c,5,391,0.89
7oho,posLen_tp_10_rand_c,5,357,1.07
7oho,posLen_tp_10_rand_c,5,121,0.51
7oho,posLen_tp_10_rand_c,5,779,0.85
7oho,posLen_tp_10_rand_c,6,829,0.17
7oho,posLen_tp_10_rand_c,6,867,0.58
7oho,posLen_tp_10_rand_c,6,826,0.77
7oho,posLen_tp_10_rand_c,6,491,0.83
7oho,posLen_tp_10_rand_c,6,804,0.96
