userName,label,test_id,Id,predict_value
q61qh2ts,posLen_tp_10_rand_c,0,845,0.74
q61qh2ts,posLen_tp_10_rand_c,0,15,1.07
q61qh2ts,posLen_tp_10_rand_c,0,837,0.49
q61qh2ts,posLen_tp_10_rand_c,0,439,0.72
q61qh2ts,posLen_tp_10_rand_c,0,848,0.64
q61qh2ts,posLen_tp_10_rand_c,1,223,0.4
q61qh2ts,posLen_tp_10_rand_c,1,717,0.28
q61qh2ts,posLen_tp_10_rand_c,1,290,0.42
q61qh2ts,posLen_tp_10_rand_c,1,385,0.48
q61qh2ts,posLen_tp_10_rand_c,1,328,0.98
q61qh2ts,posLen_tp_10_rand_c,2,297,0.37
q61qh2ts,posLen_tp_10_rand_c,2,189,0.55
q61qh2ts,posLen_tp_10_rand_c,2,509,0.65
q61qh2ts,posLen_tp_10_rand_c,2,831,0.29
q61qh2ts,posLen_tp_10_rand_c,2,28,0.29
q61qh2ts,posLen_tp_10_rand_c,3,391,0.74
q61qh2ts,posLen_tp_10_rand_c,3,448,0.39
q61qh2ts,posLen_tp_10_rand_c,3,808,0.93
q61qh2ts,posLen_tp_10_rand_c,3,471,0.25
q61qh2ts,posLen_tp_10_rand_c,3,88,0.26
q61qh2ts,posLen_tp_10_rand_c,4,223,0.41
q61qh2ts,posLen_tp_10_rand_c,4,717,0.29
q61qh2ts,posLen_tp_10_rand_c,4,290,0.43
q61qh2ts,posLen_tp_10_rand_c,4,385,0.49
q61qh2ts,posLen_tp_10_rand_c,4,328,0.99
q61qh2ts,posLen_tp_10_rand_c,5,391,0.81
q61qh2ts,posLen_tp_10_rand_c,5,448,0.46
q61qh2ts,posLen_tp_10_rand_c,5,808,1.0
q61qh2ts,posLen_tp_10_rand_c,5,471,0.32
q61qh2ts,posLen_tp_10_rand_c,5,88,0.33
q61qh2ts,posLen_tp_10_rand_c,6,297,0.4
q61qh2ts,posLen_tp_10_rand_c,6,189,0.58
q61qh2ts,posLen_tp_10_rand_c,6,509,0.68
q61qh2ts,posLen_tp_10_rand_c,6,831,0.32
q61qh2ts,posLen_tp_10_rand_c,6,28,0.32
